fold3/class_0/precision,fold1/class_2/precision,fold0/class_1/f1-score,fold0/class_0/f1-score,fold3/class_2/precision,fold3/class_3/precision,fold1/class_2/recall,fold0/class_1/recall,_step,fold4/class_0/recall,fold2/class_0/recall,fold3/class_1/precision,fold2/class_3/recall,fold0/class_2/precision,fold0/class_1/precision,fold1/class_3/precision,_runtime,fold4/class_3/recall,fold1/class_2/f1-score,fold4/class_2/precision,fold0/class_0/recall,fold3/class_1/f1-score,fold2/class_3/f1-score,fold1/class_0/precision,fold3/class_3/recall,fold0/class_0/precision,fold4/class_1/recall,fold2/class_0/f1-score,fold1/class_1/precision,fold1/class_1/recall,fold3/confusion_matrix,fold3/class_0/f1-score,fold3/class_3/f1-score,fold4/class_1/precision,fold2/class_2/precision,fold3/class_0/recall,fold2/class_2/f1-score,fold2/class_1/recall,fold4/class_0/precision,fold4/class_1/f1-score,fold1/class_3/recall,cv5/fold_metrics,fold1/class_3/f1-score,fold4/class_2/f1-score,fold2/class_1/precision,fold4/class_3/precision,fold4/confusion_matrix,fold3/class_2/recall,fold1/class_0/f1-score,fold0/class_3/f1-score,fold0/class_2/recall,fold2/class_2/recall,fold4/class_3/f1-score,fold0/confusion_matrix,fold1/class_1/f1-score,fold2/confusion_matrix,fold3/class_2/f1-score,fold0/class_3/recall,fold4/class_2/recall,fold2/class_0/precision,fold3/class_1/recall,_timestamp,fold1/confusion_matrix,fold0/class_3/precision,fold1/class_0/recall,fold0/class_2/f1-score,fold2/class_3/precision,fold2/class_1/f1-score,fold4/class_0/f1-score
,,,,,,,,0,,,,,,,,46.053650566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'sha256': 'd7d994fcea330c709ae11798cdf9c8886ebb99a6ecbcf96e9823e23aeb8f9180', 'artifact_path': 'wandb-client-artifact://v5th35rr4g8g6by719u3jev5xmucb4u4vzntbfdbtfyvg3gj17k4gkpppz3n2lcbfkjxe19mio1v6io3ox0s9og41v9gmz8psdcfg1lx20izulxhw13bzeygc8ormob9/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://kn5h2zaivj9twn07rr9ddttnzvkh9ovra0aksna57pe2n95vc7bh0lxom5vbnv9df8rbz788o4tyyh2mvcef238fvayk30r5ed8yflqr573ved47za3iv2qyew3d62ub:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_d7d994fcea330c709ae1.table.json', 'size': 148, '_type': 'table-file', 'ncols': 5, 'log_mode': 'IMMUTABLE', 'nrows': 4}",,,,,,,,1770715062.109941,,,,,,,
,,,0.9834374151506924,,,,,1,,,,,,,,46.060351977,,,,0.979978354978355,,,,,0.9869209809264305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715062.1167839,,,,,,,
,,0.9739776951672863,,,,,0.966789667896679,2,,,,,,0.9812734082397003,,46.06091928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715062.117476,,,,,,,
,,,,,,,,3,,,,,0.9468574348492591,,,46.061379179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9914392723381488,,,,,,,,,,,1770715062.1180782,,,,0.9686356508102457,,,
,,,,,,,,4,,,,,,,,46.061841266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9513766842413591,,,,,,,,0.9175141242937853,,,,1770715062.1185453,,0.9878345498783455,,,,,
,,,,,,,,5,,,,,,,,89.596541127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715105.653119,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://plauflbpduzcml34tn5dvkox9qzh2yvemrxm5pykf90u10ecgo214xm11k4ehbefvtvyxl9hcb91nnyqrt314i0pzyvd5l33rzqbx3uig9zdagm1wbgyhurms7brdukp:latest/fold1/confusion_matrix.table.json', 'ncols': 5, 'sha256': 'dc8ef00756413ad8c7ce15019d909a49454d91e16021989b5daa132b630fcfd6', 'artifact_path': 'wandb-client-artifact://po8cvhkv3eo7j94sf36s7ni6aqkuhhhqtp8uouiua50429jgk866ju4lkhh7s4w1bkhi604tawe8f6zq82lzwbizrye6ejg72q233tdfs3okmmfdwi9qilin3wuspxuq/fold1/confusion_matrix.table.json', 'size': 145, '_type': 'table-file', 'path': 'media/table/fold1/confusion_matrix_5_dc8ef00756413ad8c7ce.table.json', 'nrows': 4}",,,,,,
,,,,,,,,6,,,,,,,,89.59810963,,,,,,,0.9905940594059406,,,,,,,,,,,,,,,,,,,,,,,,,0.9908393166625402,,,,,,,,,,,,,1770715105.654803,,,0.9910846953937593,,,,
,,,,,,,,7,,,,,,,,89.598513827,,,,,,,,,,,,0.983273596176822,0.9797619047619047,,,,,,,,,,,,,,,,,,,,,,,,,0.9815146094215862,,,,,,,1770715105.6552737,,,,,,,
,0.9740740740740741,,,,,0.9978319783197832,,8,,,,,,,,89.59900901,,0.985809906291834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715105.6557043,,,,,,,
,,,,,,,,9,,,,,,,0.9924812030075187,89.599376163,,,,,,,,,,,,,,,,,,,,,,,,0.9322033898305084,,0.9613983976693372,,,,,,,,,,,,,,,,,,,1770715105.6561098,,,,,,,
