fold2/class_10/recall,fold3/class_4/f1-score,fold1/class_10/precision,fold4/class_2/precision,fold0/class_3/precision,fold0/class_5/recall,fold2/class_2/precision,fold4/class_9/f1-score,fold4/class_5/precision,fold2/class_9/precision,fold3/class_5/precision,fold2/class_7/precision,fold1/class_10/recall,fold1/class_3/f1-score,fold0/class_3/recall,fold4/class_10/recall,fold0/class_4/precision,fold4/class_10/precision,fold0/class_1/precision,fold2/class_9/f1-score,fold3/class_8/f1-score,fold3/class_5/f1-score,fold3/class_4/recall,fold2/class_8/precision,fold0/class_10/precision,fold4/class_7/precision,fold0/class_8/precision,fold1/class_10/f1-score,fold3/class_1/recall,fold1/class_1/recall,fold1/class_7/precision,fold2/class_5/f1-score,fold1/class_9/recall,fold1/class_6/recall,_step,fold1/class_5/f1-score,fold0/class_6/precision,fold2/class_0/precision,fold3/class_7/recall,fold1/class_8/f1-score,fold3/class_0/precision,cv5/fold_metrics,fold4/class_6/recall,fold4/class_0/recall,fold4/confusion_matrix,fold2/class_7/recall,fold1/class_8/precision,fold1/class_3/recall,fold1/class_5/precision,fold3/class_2/recall,fold0/class_2/f1-score,fold0/class_5/f1-score,fold4/class_9/recall,fold1/class_7/f1-score,_timestamp,fold4/class_4/f1-score,fold0/class_10/recall,fold2/confusion_matrix,fold1/confusion_matrix,fold2/class_7/f1-score,fold3/class_3/f1-score,fold4/class_1/recall,fold0/class_6/recall,fold3/class_10/recall,fold0/class_9/f1-score,fold4/class_2/recall,fold3/confusion_matrix,fold1/class_0/recall,fold3/class_9/recall,fold1/class_9/precision,fold0/class_2/recall,fold0/class_0/precision,fold3/class_3/precision,fold3/class_5/recall,fold1/class_4/f1-score,fold3/class_1/f1-score,fold2/class_3/f1-score,fold1/class_1/f1-score,fold3/class_8/recall,fold3/class_10/precision,fold3/class_0/recall,fold4/class_8/f1-score,fold3/class_7/precision,fold3/class_8/precision,fold4/class_0/f1-score,fold1/class_1/precision,fold2/class_1/precision,fold3/class_7/f1-score,fold0/class_8/f1-score,fold1/class_5/recall,fold3/class_9/f1-score,fold3/class_9/precision,fold2/class_3/precision,fold0/class_9/recall,fold2/class_2/f1-score,fold4/class_2/f1-score,fold1/class_9/f1-score,fold2/class_0/f1-score,fold1/class_3/precision,fold2/class_4/precision,fold4/class_6/f1-score,fold0/class_7/precision,fold0/class_1/recall,fold2/class_5/precision,fold3/class_3/recall,fold1/class_2/recall,fold0/class_4/f1-score,fold0/class_9/precision,fold2/class_8/recall,fold0/class_0/recall,fold4/class_7/recall,fold0/class_4/recall,fold4/class_8/recall,fold4/class_3/recall,fold1/class_7/recall,fold1/class_2/precision,fold4/class_0/precision,fold0/class_7/f1-score,_runtime,fold2/class_10/f1-score,fold0/class_2/precision,fold1/class_4/recall,fold2/class_1/recall,fold2/class_4/recall,fold4/class_8/precision,fold0/class_7/recall,fold1/class_4/precision,fold2/class_6/precision,fold1/class_6/f1-score,fold2/class_10/precision,fold0/confusion_matrix,fold0/class_6/f1-score,fold3/class_10/f1-score,fold2/class_8/f1-score,fold3/class_6/recall,fold4/class_4/recall,fold0/class_3/f1-score,fold4/class_3/f1-score,fold2/class_3/recall,fold4/class_5/recall,fold4/class_3/precision,fold1/class_2/f1-score,fold0/class_5/precision,fold3/class_2/precision,fold3/class_2/f1-score,fold2/class_6/f1-score,fold0/class_8/recall,fold1/class_0/precision,fold1/class_0/f1-score,fold2/class_9/recall,fold2/class_5/recall,fold3/class_1/precision,fold0/class_1/f1-score,fold3/class_4/precision,fold2/class_1/f1-score,fold0/class_0/f1-score,fold2/class_4/f1-score,fold4/class_9/precision,fold4/class_5/f1-score,fold2/class_2/recall,fold1/class_8/recall,fold2/class_6/recall,fold3/class_6/f1-score,fold3/class_6/precision,fold2/class_0/recall,fold0/class_10/f1-score,fold4/class_1/f1-score,fold4/class_6/precision,fold4/class_1/precision,fold3/class_0/f1-score,fold4/class_10/f1-score,fold1/class_6/precision,fold4/class_4/precision,fold4/class_7/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1770914497.122938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3570.76021449,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'ncols': 12, 'artifact_path': 'wandb-client-artifact://mvyntt4xb3v99w7lciyp0ka8rzcjppy7yg46dvx2tmjzhcu8z2ybzqvbryyhgcoje22e673qppwgvtx5yyc7n8elihwnpmipsujgty7awqyfb8q1rey143sen820qgcm/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://4jr39dno2566cx29940hb6wy3jyagdpj2exp6ht4fsof4e01wq50b6p62n3t3mpiecnv5knwf5utzft277hg29lsjpv1k5iib7zsmygi6pg0i66jyzy91xjbvi2tlh46:latest/fold0/confusion_matrix.table.json', 'nrows': 11, 'path': 'media/table/fold0/confusion_matrix_0_a109de04d8e0f4a69cf7.table.json', 'sha256': 'a109de04d8e0f4a69cf7065242b1fe4a03e7dfe480884ebab3a0ac80ef2c9e1c', 'size': 627, '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1770914497.1247468,,,,,,,,,,,,,,,,,0.8190764266989312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8036802532647408,,,,,,,,,3570.761829218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8113053031059623,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.7676470588235295,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1770914497.1252255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7388535031847133,,,,,,,,,,,,,,,,3570.762352107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7529751172015867,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0.56791104050834,,,,1770914497.1256714,,,,,,,,,,,,,,,,0.5158730158730159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3570.762656321,,0.6316254416961131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.6631205673758865,,,,,,,,,,0.5577926920208799,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1770914497.125988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3570.762870657,,,,,,,,,,,,,,,,,,0.6059133252328878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.5508836075563681,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1770914497.1261995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6330532212885154,,,,,0.7440329218106996,,,,,,,3570.763039462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.5369261477045908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,0.5376415722851432,,,1770914497.126376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3570.763230241,,,,,,,,,,,,,,,,,,,,,,,,0.5383589059372915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,0.551176096630642,,,,,,,,,,,,,,,,,,1770914497.126552,,,,,,,,0.664367816091954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3570.763386882,,,,,,,,,,,,,0.6025017373175816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,1770914497.126712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6028169014084507,,,,,,,,,,,,,,,,0.5438373570520966,3570.763539065,,,,,,,0.49537037037037035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.6362264150943396,,,,,,,,9,,,,,,,,,,,,,,,,,,,,1770914497.126861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6260675826216116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3570.763688832,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6162280701754386,,,,,,,,,,,,,,,,,,,,,,,,,,,
