fold2/class_0/precision,fold3/class_2/f1-score,fold3/class_0/recall,fold0/confusion_matrix,fold0/class_3/precision,fold1/class_3/f1-score,fold2/class_3/recall,fold3/class_2/precision,fold3/class_0/precision,fold3/confusion_matrix,fold4/class_0/f1-score,fold2/class_0/f1-score,fold3/class_3/precision,fold2/class_2/precision,fold2/class_1/recall,fold0/class_3/f1-score,fold2/class_3/precision,cv5/fold_metrics,fold1/class_1/precision,fold4/class_3/precision,fold4/class_1/recall,fold2/class_1/f1-score,fold4/class_3/f1-score,fold1/class_0/precision,fold0/class_3/recall,fold4/class_3/recall,fold3/class_3/recall,fold1/class_3/recall,fold0/class_0/f1-score,fold0/class_2/recall,fold3/class_0/f1-score,fold1/class_1/f1-score,fold4/class_1/f1-score,fold0/class_2/precision,fold0/class_1/recall,fold3/class_2/recall,_step,fold1/confusion_matrix,fold0/class_1/precision,fold0/class_1/f1-score,fold3/class_1/f1-score,fold0/class_2/f1-score,fold4/class_0/precision,fold1/class_1/recall,fold2/class_0/recall,fold4/class_2/precision,fold0/class_0/recall,fold1/class_3/precision,_timestamp,fold1/class_0/f1-score,fold4/class_2/recall,fold3/class_1/precision,fold4/class_0/recall,fold1/class_2/f1-score,fold1/class_2/recall,fold1/class_0/recall,fold4/class_2/f1-score,fold2/confusion_matrix,fold2/class_2/recall,fold3/class_1/recall,fold2/class_1/precision,fold2/class_2/f1-score,fold4/class_1/precision,_runtime,fold1/class_2/precision,fold0/class_0/precision,fold4/confusion_matrix,fold2/class_3/f1-score,fold3/class_3/f1-score
,,,"{'_latest_artifact_path': 'wandb-client-artifact://lpxk7upctn9nlzkrdtbpb9xxn4b3bqy14nqypdzjpfri7o2vxzopg61o2ta9inzvirz8ljf3uspt6jg0be88w5q3hpmvdnmnzdpvs4is5bnd7cxctgm2en83dr2qq07l:latest/fold0/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_fdbe0d1872fcd40fc5f9.table.json', 'sha256': 'fdbe0d1872fcd40fc5f9a69d95626bd8df1512bce016b103c41ef585ce398aa0', 'size': 142, 'artifact_path': 'wandb-client-artifact://saxlnz611sunuk5khvyzsdlb9bhlp2gbg55y0nyj1rzy32gacp3bgwqhwhlfy3qbzz3z1geg3h5nguvo4au9smnu8ma49mchc1t2tnfv4v6m1o4b8o6cr565obijlybw/fold0/confusion_matrix.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1770721254.3229258,,,,,,,,,,,,,,,30.490284377,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9680511182108626,,,,,,,,1,,,,,,,,,,0.9837662337662337,,1770721254.3245442,,,,,,,,,,,,,,,30.491580292,,0.9528301886792453,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9040590405904059,,2,,0.9722222222222222,0.9369024856596558,,,,,,,,,1770721254.324939,,,,,,,,,,,,,,,30.491987978,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9839486356340289,,,,0.9871175523349437,,,3,,,,,0.9855305466237942,,,,,,,1770721254.3252833,,,,,,,,,,,,,,,30.492273742,,,,,
,,,,0.956081081081081,,,,,,,,,,,0.9576988155668359,,,,,,,,,0.9593220338983051,,,,,,,,,,,,4,,,,,,,,,,,,1770721254.3256433,,,,,,,,,,,,,,,30.492671735,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"{'ncols': 5, 'sha256': '8f55614e4f52b94d91cb9a4f650f0f5976762e306258e368e378948e1bfef361', '_latest_artifact_path': 'wandb-client-artifact://l7wo7i9oxgtvmwtnv8axmhfohd5b5qufpwlr5wbx8a07320cvkh4wpyrq80gn5ap8pnz9xdycu54pkeekimxtvy08s3qghrrcp5d8y6jq2wfe0wh8jlor6k9j0kz0zjr:latest/fold1/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://j3a80u527470gbsdldhpubptmdukzbdvgnr7lr36t6wxtrwq6v1ntptuz956ly47wxqri9h1p1cz76kf4fc4i1a183ealo9ggwev9vcgjppxxxigtem9x0i9or1ebwe4/fold1/confusion_matrix.table.json', 'size': 141, 'nrows': 4, 'path': 'media/table/fold1/confusion_matrix_5_8f55614e4f52b94d91cb.table.json', 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,,,,,,,,,,1770721280.3523123,,,,,,,,,,,,,,,56.519451833,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.9895522388059701,,,,,,,,,,,,,6,,,,,,,,,,,,1770721280.3541834,0.9873417721518988,,,,,,0.9851411589895989,,,,,,,,56.521333393,,,,,
,,,,,,,,,,,,,,,,,,0.9925925925925926,,,,,,,,,,,,,0.9745454545454545,,,,,7,,,,,,,0.9571428571428572,,,,,1770721280.3546424,,,,,,,,,,,,,,,56.521696454,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1770721280.3550377,,,,,0.9878738884397736,0.9934959349593496,,,,,,,,,56.522070489,0.9823151125401929,,,,
,,,,,0.9581589958158996,,,,,,,,,,,,,,,,,,,,,,0.9703389830508474,,,,,,,,,9,,,,,,,,,,,0.9462809917355371,1770721280.3554857,,,,,,,,,,,,,,,56.522528672,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,1770721309.0903099,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://rp2qzctxsq3mfh5h71gisjvz20q9ndlz2jn0gkga5e7xw0pq8nxeroz3jdv52k4udv2xieuswjbvsoqs3ozbjbha0wo0hlu423cuh58k8utkpyuij5rqe7qvs6pktut7:latest/fold2/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'nrows': 4, 'sha256': 'e3861dcef1dfb8611a34e9178d224fa148d3db73f3ec6c82eca8185c90650897', 'size': 141, 'artifact_path': 'wandb-client-artifact://vtnb1y0mx8q210lrrs51fuorej8auw3xts5jhgo0i7xfh86tivs374y7mjdqsl7gu5l52wvtl4bwkeel7hjqn7g9zzd1gejsblog9r3lcgzblgqkp2fmpuiqktxc26hv/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_10_e3861dcef1dfb8611a34.table.json'}",,,,,,85.257538691,,,,,
0.9906542056074766,,,,,,,,,,,0.9914263445050663,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,0.9921996879875195,,,,1770721309.0922828,,,,,,,,,,,,,,,85.25941971,,,,,
,,,,,,,,,,,,,,0.9839357429718876,,,,,,,0.9919028340080972,,,,,,,,,,,,,,,12,,,,,,,,,,,,1770721309.0928092,,,,,,,,,,,,1,,,85.259880982,,,,,
,,,,,,,,,,,,,0.9798449612403101,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,1770721309.0932558,,,,,,,,,,0.9937106918238994,,,0.9867291178766588,,85.260273952,,,,,
