fold0/confusion_matrix,fold0/class_9/recall,fold4/class_4/f1-score,fold0/class_3/recall,fold4/class_6/recall,fold0/class_8/precision,fold3/class_6/precision,fold4/class_7/recall,fold1/class_2/recall,fold3/class_8/recall,fold1/class_4/recall,fold3/class_5/f1-score,fold0/class_6/precision,fold2/class_9/recall,fold1/class_10/f1-score,fold0/class_7/recall,fold0/class_6/f1-score,fold1/class_2/f1-score,fold2/class_10/precision,fold0/class_10/f1-score,fold4/class_10/f1-score,fold1/class_7/recall,fold3/confusion_matrix,fold4/class_0/precision,fold4/class_9/recall,fold0/class_10/recall,fold1/confusion_matrix,fold1/class_7/precision,fold2/class_5/f1-score,fold0/class_9/precision,fold4/class_0/f1-score,fold4/class_8/precision,fold2/class_6/recall,fold4/confusion_matrix,fold3/class_8/precision,fold3/class_2/f1-score,fold0/class_1/precision,fold0/class_4/precision,fold3/class_5/precision,fold3/class_2/recall,fold2/class_3/precision,fold2/class_4/recall,fold3/class_3/precision,fold3/class_0/recall,fold2/class_7/f1-score,fold4/class_7/precision,fold3/class_1/precision,fold1/class_9/precision,fold4/class_8/f1-score,fold4/class_9/precision,fold4/class_5/f1-score,fold2/class_3/recall,fold3/class_1/recall,fold3/class_8/f1-score,fold3/class_4/precision,fold0/class_5/recall,fold2/class_1/recall,fold4/class_3/f1-score,fold2/class_9/f1-score,fold1/class_9/recall,fold0/class_7/f1-score,fold2/class_8/precision,fold4/class_3/recall,fold2/class_8/f1-score,fold1/class_5/precision,fold0/class_1/f1-score,fold1/class_8/precision,fold2/class_1/f1-score,fold2/class_2/f1-score,fold1/class_6/recall,fold4/class_4/precision,fold1/class_8/recall,fold3/class_4/f1-score,fold2/class_6/f1-score,fold0/class_5/precision,fold0/class_6/recall,fold2/class_5/recall,fold3/class_9/recall,fold1/class_5/recall,fold3/class_0/f1-score,fold0/class_3/f1-score,fold0/class_2/precision,fold1/class_10/recall,fold0/class_0/precision,fold0/class_4/recall,fold3/class_2/precision,_step,cv5/fold_metrics,fold0/class_3/precision,fold2/class_9/precision,fold3/class_6/recall,fold1/class_5/f1-score,fold2/class_0/f1-score,fold0/class_8/recall,fold4/class_8/recall,_runtime,fold2/class_10/f1-score,fold3/class_9/f1-score,fold2/class_10/recall,fold3/class_3/f1-score,fold4/class_9/f1-score,fold3/class_10/f1-score,fold0/class_2/f1-score,fold4/class_1/precision,fold0/class_10/precision,fold1/class_0/precision,fold4/class_2/precision,fold1/class_7/f1-score,fold2/class_4/precision,fold4/class_5/precision,fold4/class_4/recall,fold4/class_7/f1-score,fold2/class_2/recall,fold0/class_0/f1-score,fold3/class_7/recall,fold3/class_6/f1-score,fold2/class_8/recall,fold4/class_6/precision,fold0/class_4/f1-score,fold2/class_7/recall,fold1/class_1/precision,fold1/class_10/precision,fold4/class_10/precision,fold1/class_4/precision,fold1/class_6/f1-score,fold0/class_7/precision,fold3/class_0/precision,fold3/class_10/precision,fold1/class_2/precision,fold4/class_1/recall,fold4/class_5/recall,fold2/confusion_matrix,fold1/class_9/f1-score,fold4/class_3/precision,fold1/class_3/recall,fold1/class_4/f1-score,fold0/class_9/f1-score,fold2/class_3/f1-score,fold4/class_10/recall,fold1/class_3/f1-score,fold1/class_0/f1-score,fold2/class_0/recall,fold2/class_0/precision,fold0/class_1/recall,fold1/class_1/recall,fold3/class_7/f1-score,fold4/class_2/f1-score,fold4/class_6/f1-score,fold1/class_1/f1-score,fold1/class_3/precision,fold4/class_0/recall,fold2/class_7/precision,fold1/class_8/f1-score,fold0/class_2/recall,_timestamp,fold3/class_9/precision,fold3/class_3/recall,fold3/class_7/precision,fold0/class_0/recall,fold3/class_5/recall,fold3/class_1/f1-score,fold0/class_8/f1-score,fold4/class_1/f1-score,fold2/class_1/precision,fold3/class_10/recall,fold2/class_5/precision,fold0/class_5/f1-score,fold1/class_6/precision,fold3/class_4/recall,fold1/class_0/recall,fold4/class_2/recall,fold2/class_2/precision,fold2/class_4/f1-score,fold2/class_6/precision
"{'path': 'media/table/fold0/confusion_matrix_0_4d598f60d4277dc277c1.table.json', 'artifact_path': 'wandb-client-artifact://fc7jpyhjlb33pcbalphuckora797yc1pltzc8jdhjn9o90018natq1ol78pn328dbzaom1er332m6xp3nldl17s14jyzccsedvonfrez2grpc5uai85rn4zud70r7ztn/fold0/confusion_matrix.table.json', 'sha256': '4d598f60d4277dc277c187b0afa1947deb1e4318afdf07234fc3e89557f37706', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://69pqjc80t8dnvh04i6k91aq61ef781ycyf4369l7ohnr5xbdq0gnr3qstxbjruv9dtp0o64qwo1luk9grtpmzdpwvwrzh0ouqm1z8sia4wa0pm9vly76h6ruvnjf5bc7:latest/fold0/confusion_matrix.table.json', 'ncols': 12, 'size': 559, '_type': 'table-file', 'nrows': 11}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1217.16346791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770957662.2329843,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999957378795951,,,1,,,,,,,,,1217.164855895,,,,,,,,,,,,,,,,,,0.9999041073997124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770957662.2344005,,,,0.9998508416790965,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997867803837953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989327641408752,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1217.165109448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1770957662.2347798,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,1217.165768927,,,,,,,0.9975609756097561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9951338199513382,1770957662.2350602,,,,,,,,,,,,,,,,,,,
,,,0.9976851851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9976851851851852,,,,,,4,,0.9976851851851852,,,,,,,1217.165812313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770957662.2352998,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9976019184652278,,5,,,,,,,,,1217.165842102,,,,,,,,,,,,,,,,,,,,,,,0.9987995198079231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770957662.2355325,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9956989247311828,,,,,,,,,,,,,,,,,,,0.9935622317596566,,,,,,,,,,,,6,,,,,,,,,1217.166025015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770957662.2357557,,,,,,,,,,,,0.9946294307196563,,,,,,,
,,,,,,,,,,,,1,,,,0.9958932238193019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9918200408997955,,,,,,,,,,,7,,,,,,,,,1217.166199442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770957662.2359624,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9953596287703016,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,1217.166373958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9907621247113164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770957662.2361233,,,,,,,,,,,,,,,,,,,
,,,,,0.9955456570155902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,1,,1217.166462604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770957662.2362611,,,,,,,0.9977678571428571,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998019801980198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,1217.16660164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990089197224975,,,,,,,,,,,,,,,,,,1770957662.2363904,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.9952011812476929,,,,,,0.9963045084996305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,1217.166732069,,,,,,,,,0.9941002949852508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770957662.236521,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"{'nrows': 11, 'path': 'media/table/fold1/confusion_matrix_12_64a361b5c40abcfa919e.table.json', '_type': 'table-file', 'sha256': '64a361b5c40abcfa919ef7c8d74ffb7e6a23bef0a6bac07357ad1ca03930f11b', 'ncols': 12, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://recju50nibvcl203i5r2no43jqme0s08pok1n1i1qbu7aiulp8tfcstkpodvqrffuw76msmbqx2f69mdasl3n4gl7gjpd3di5muumvuxevxngm2yazc1aykcu6j3ac86:latest/fold1/confusion_matrix.table.json', 'size': 559, 'artifact_path': 'wandb-client-artifact://ye9j5d6vygeujbp210681wmmvp0vi2etdm87knmnqcpxs2pi1dalptmbh0nwr9d4lue88680ne6cmkz69fnrx6ioypsaxufhqnr957up5pwzgnnj56cq12d9cz3kxu0d/fold1/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,1924.703462732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770958369.7726414,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,1924.704896296,,,,,,,,,,0.9995739150812757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996697525274585,,,,,,,,,,,,,,1770958369.7745414,,,,,,,,,,,,,,,0.999765608352866,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,1924.705076634,,,,,,,,,,,,,,,,,,,,,,,,,0.9951456310679612,,,,,,,,,,,,,,,,,,,,,,,,0.9975669099756691,,,,0.9963547995139733,,,,,,1770958369.7748258,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.9902534113060428,,,,,,,,,0.98545101842871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,1924.705246582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9806949806949807,,,,,,,,,,,,,,,,,,,,,,,,,,1770958369.7750192,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,1924.705410216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9900199600798403,,,,,0.9900199600798403,,,,,,,,,,0.9900199600798403,,,,,1770958369.775182,,,,,,,,,,,,,,,,,,,
