fold3/class_7/f1-score,fold4/class_3/f1-score,fold1/class_6/f1-score,fold4/class_7/precision,fold4/class_8/precision,fold4/class_4/f1-score,fold1/class_9/f1-score,fold1/class_8/precision,fold0/class_3/precision,fold0/class_0/recall,fold3/class_3/f1-score,fold0/class_2/f1-score,fold0/class_1/f1-score,fold1/class_10/f1-score,fold3/class_2/recall,fold0/class_7/f1-score,fold1/class_9/precision,fold2/class_3/f1-score,fold3/confusion_matrix,fold1/class_0/f1-score,fold0/class_10/precision,fold2/class_8/f1-score,fold4/class_8/f1-score,fold4/class_0/precision,fold2/class_5/recall,fold0/class_2/recall,fold0/class_7/precision,fold1/class_2/precision,fold2/class_0/recall,fold3/class_0/recall,fold0/class_7/recall,fold0/class_9/recall,fold4/class_4/recall,fold0/class_0/f1-score,fold0/class_0/precision,fold4/class_2/recall,fold3/class_3/precision,fold0/class_2/precision,fold2/class_1/precision,fold4/class_9/recall,fold3/class_7/recall,fold3/class_9/f1-score,fold2/class_10/recall,_runtime,fold0/class_4/f1-score,fold3/class_0/f1-score,fold1/class_3/recall,fold2/class_2/f1-score,fold1/class_2/f1-score,fold4/class_10/f1-score,fold3/class_9/precision,fold1/class_2/recall,fold2/class_1/recall,fold1/class_5/f1-score,fold2/class_4/precision,cv5/fold_metrics,fold4/class_9/precision,fold3/class_5/f1-score,fold2/class_2/precision,fold1/class_9/recall,fold4/class_5/recall,fold2/class_6/recall,fold2/class_0/f1-score,fold3/class_6/precision,fold2/class_2/recall,fold4/class_3/precision,fold1/class_5/recall,fold0/class_3/f1-score,fold3/class_6/recall,fold2/class_7/precision,fold2/class_6/precision,_timestamp,fold0/class_4/precision,fold4/class_4/precision,fold3/class_3/recall,fold1/class_4/f1-score,fold4/class_2/precision,fold0/class_4/recall,fold1/confusion_matrix,fold0/class_1/recall,fold2/class_4/f1-score,fold4/class_0/recall,fold0/class_9/f1-score,fold0/class_6/precision,fold1/class_4/precision,fold1/class_7/recall,fold4/class_2/f1-score,fold0/class_3/recall,fold2/class_8/recall,fold2/confusion_matrix,fold2/class_6/f1-score,fold1/class_0/precision,fold2/class_3/precision,fold0/class_6/f1-score,fold1/class_8/recall,fold1/class_6/precision,fold2/class_10/precision,fold3/class_8/precision,fold1/class_10/recall,fold4/class_6/precision,fold1/class_0/recall,fold1/class_5/precision,fold3/class_1/recall,fold4/class_5/f1-score,fold2/class_0/precision,fold4/class_1/recall,fold4/class_10/recall,fold3/class_9/recall,fold0/class_1/precision,fold3/class_4/recall,fold1/class_1/precision,fold1/class_7/precision,fold0/class_10/f1-score,fold0/confusion_matrix,fold4/class_7/recall,fold0/class_9/precision,fold4/class_6/recall,fold3/class_7/precision,fold4/confusion_matrix,fold0/class_5/precision,fold0/class_8/f1-score,fold1/class_7/f1-score,fold3/class_5/precision,fold4/class_6/f1-score,fold0/class_8/precision,fold3/class_4/precision,fold2/class_3/recall,fold4/class_10/precision,fold3/class_0/precision,fold0/class_8/recall,fold2/class_7/f1-score,fold2/class_7/recall,fold1/class_4/recall,fold3/class_10/f1-score,fold2/class_8/precision,fold2/class_9/f1-score,fold4/class_3/recall,fold3/class_5/recall,fold3/class_1/precision,fold2/class_1/f1-score,fold3/class_10/recall,fold1/class_1/f1-score,fold2/class_9/precision,fold0/class_6/recall,fold0/class_10/recall,fold1/class_8/f1-score,fold4/class_5/precision,fold3/class_2/precision,fold4/class_9/f1-score,fold4/class_0/f1-score,fold2/class_5/f1-score,_step,fold1/class_6/recall,fold4/class_8/recall,fold3/class_2/f1-score,fold3/class_10/precision,fold2/class_9/recall,fold0/class_5/f1-score,fold1/class_10/precision,fold3/class_8/recall,fold2/class_10/f1-score,fold3/class_8/f1-score,fold4/class_7/f1-score,fold1/class_3/precision,fold4/class_1/precision,fold1/class_3/f1-score,fold2/class_4/recall,fold3/class_6/f1-score,fold0/class_5/recall,fold2/class_5/precision,fold3/class_1/f1-score,fold4/class_1/f1-score,fold1/class_1/recall,fold3/class_4/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10361.940605833,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770936401.279426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://gsb160eya2n93tah1zjqnyw4yn5831kxaqp0j0i65dbhhij8ifgxeaid043fk3tvp3bcj45oajhsksxv42yvpnjyx4zlpgluhj9vt47yixtk6qxjcig4y2qhpczv4aud:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_65d2e25fcda2b0e1f4a4.table.json', 'ncols': 12, 'sha256': '65d2e25fcda2b0e1f4a4a3bb3e05374ed45ab31e207ffe03593fc88fbb0359ba', 'size': 586, 'nrows': 11, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://dsnzcda8oinrv4h2x57m4xvirjg6wb5n4g56y9iw8w3l85fkba1pbew1tz67wh4gak81hndu1dl9bb4hgdnwtqpvaerpm3pff7jv1qsojpr856wv30bgvvoix84p4tdf/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.9872971903442818,,,,,,,,,,,,,,,,,,,,,,,,0.9880205136328535,0.9887448975547893,,,,,,,,,10361.942270005,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770936401.2812867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.9627263045793397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10361.942704056,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770936401.2817574,,,,,,,,0.9596602972399151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9658119658119658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9660649819494584,,,,,,,,,,,,,,0.9653679653679653,,,,,,,,,,,,0.9667630057803468,,,,,,10361.943070874,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770936401.2821836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.9691403379867745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10361.943197395,,,,,,,,,,,,,,,,,,,,,,,,0.9763138415988157,,,,1770936401.2824516,,,,,,,,,,,,,,,,0.9835943325876212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10361.943314939,0.975328947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,1770936401.2825785,0.9745275267050123,,,,,0.9761316872427983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10361.943475627,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770936401.2827134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9489334195216548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,0.9626229508196721,,,,,,,,,,,0.9767132401862941,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10361.943535095,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770936401.2828302,,,,,,,,,,,,0.9806949806949807,,,,,,,,,,0.9769230769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9731800766283525,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9907335907335907,,,,,,,,,,,0.991499227202473,,,,0.9899691358024691,,,,,,,,,,,,,10361.943712477,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770936401.2829454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10361.943843768,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770936401.2830603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.981159955670484,,,,0.9917849141150112,,,,,0.9707602339181286,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,
