fold0/confusion_matrix,fold3/confusion_matrix,_timestamp,fold2/class_0/recall,fold0/class_0/precision,fold2/class_0/f1-score,fold1/class_1/f1-score,fold4/class_0/precision,fold1/confusion_matrix,fold4/class_0/f1-score,_runtime,fold1/class_0/recall,fold0/class_0/f1-score,fold0/class_0/recall,fold2/class_0/precision,fold4/class_1/f1-score,fold1/class_0/f1-score,fold0/class_1/precision,fold4/class_1/precision,fold2/class_1/recall,fold1/class_0/precision,fold2/class_1/f1-score,fold0/class_1/f1-score,fold4/class_0/recall,fold3/class_0/f1-score,fold3/class_1/f1-score,fold4/confusion_matrix,fold1/class_1/recall,fold2/class_1/precision,fold3/class_1/recall,fold4/class_1/recall,fold3/class_0/precision,_step,cv5/fold_metrics,fold2/confusion_matrix,fold1/class_1/precision,fold0/class_1/recall,fold3/class_1/precision,fold3/class_0/recall
"{'sha256': '906ddd0f98ee1ee1e51452693f0af46cd63f539b6ebfae5204ae27393397a41c', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://e352gc1wao304eewwfz9lxczadj74dn4j7gx5z3q4449oqe7tj0bhvkgvvtrzvz6yi617v8e3iavbqqa7r75x6gcmcm1bgo1fmnhonye7ymzq6xm2g29u4wl6tl4ttsr:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 3, 'path': 'media/table/fold0/confusion_matrix_0_906ddd0f98ee1ee1e514.table.json', 'size': 83, 'artifact_path': 'wandb-client-artifact://xwadf1l714unhn3952oqyywtewn5q5o7fsyox14k63cu0kea5npbuvr9z8pr54rancnvb6ktkkj22gyrvxtp9bbsnncwh0xairau1hbs6aa8t6tnesknsp0ai4rbeu4w/fold0/confusion_matrix.table.json', 'nrows': 2}",,1770732875.6991584,,,,,,,,401.499047564,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
,,1770732875.7005339,,0.9917582417582418,,,,,,401.50028371,,0.9958620689655172,1,,,,,,,,,,,,,,,,,,,1,,,,,,
,,1770732875.7007928,,,,,,,,401.500452528,,,,,,,1,,,,,0.9971351679833319,,,,,,,,,,2,,,,0.994286703601108,,
,,1770733343.7591534,,,,,,"{'_type': 'table-file', 'nrows': 2, 'ncols': 3, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold1/confusion_matrix_3_36df7f9eaf421cdb2e4a.table.json', '_latest_artifact_path': 'wandb-client-artifact://t4f1e7ujksvw4uwqeoj3rs9bmafz6p4zye4phkevogspsbtufulfmjxhv6z3f7krckymsr0nkvlzjkm14mtjzo5j7shm82obo7zq8b5vqko6r1l8u16fr9kdsg4bm3d6:latest/fold1/confusion_matrix.table.json', 'sha256': '36df7f9eaf421cdb2e4ab406a797e8cf623e2fcd5424af4e2f269f11e0e22759', 'size': 83, 'artifact_path': 'wandb-client-artifact://e7h6f9r35qkxxcslpdl3ue2vmf0wakcop37rq67ggm15e1gh2afzg0tjzy7817dbava06s4ax3pcx3eo1zrnk97mail6q8e1oe18u6m9mtqgut2rbd3ei7dktmaincsz/fold1/confusion_matrix.table.json'}",,869.558971735,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
,,1770733343.7607684,,,,,,,,869.560561088,0.9998489045580459,,,,,0.9953371772374029,,,,0.9908659845270776,,,,,,,,,,,,4,,,,,,
,,1770733343.7611432,,,,0.9967697117054533,,,,869.560765818,,,,,,,,,,,,,,,,,0.9936634349030471,,,,,5,,,0.9998954703832753,,,
,,1770733939.3955023,,,,,,,,1465.195413266,,,,,,,,,,,,,,,,,,,,,,6,,"{'path': 'media/table/fold2/confusion_matrix_6_7c04d1dc55843cae8e53.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://755l9khn4eohx851ufn5z2tni96tmy0pntyjjp9e5t937meg6x5w7q52j3neo84htoh2sxjgd812rkh0kqa03uzxebaekx5zccgok0fvutj3qxdo1v7ms85834mgw229/fold2/confusion_matrix.table.json', 'size': 83, 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://zotbdy082bp6cve69ya0iom7rxkanjpxpqrxx10y0o2cumgwndq7otsic7ompuub4ikk9rx1c5enm0h0t1ehl5k864b84d7o82y9pdkactyah6601r34p07twemyiw4z:latest/fold2/confusion_matrix.table.json', 'sha256': '7c04d1dc55843cae8e530807efd533b39be363d429335bd8070a11ccab67a7cc', 'ncols': 3, 'log_mode': 'IMMUTABLE'}",,,,
,,1770733939.396978,1,,0.9944374843397644,,,,,1465.196769062,,,,0.9889365095185887,,,,,,,,,,,,,,,,,,7,,,,,,
,,1770733939.39726,,,,,,,,1465.196888251,,,,,,,,,0.9923087583148559,,0.996139533266094,,,,,,,1,,,,8,,,,,,
,"{'ncols': 3, 'sha256': 'af534974ad908b01dd656a20c9bba041bbc0d70611d8b58ec7506705a5e078f2', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://vc6ywu5dvk9xp3tisy2zp4horntevc6sdpee21wkob638kz1emheb7ravavvtv590gxypniqqclns4hw33ulnnneyfym0nnkm0yrx0axu7vr56l9d8qxkjpj0x2grp6f/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://xphywf6yl4gstoj0znvr1e9sarv52hrn66yo1ctgia8t6z9xs5zmvx64q2t3toan7cxmwhpxoc6byokcmm9prm1nlowl1yjh528e6hc0naravj64am7o794z7kq3p8hy:latest/fold3/confusion_matrix.table.json', 'nrows': 2, 'path': 'media/table/fold3/confusion_matrix_9_af534974ad908b01dd65.table.json', 'size': 83, '_type': 'table-file'}",1770734338.85111,,,,,,,,1864.650845093,,,,,,,,,,,,,,,,,,,,,,9,,,,,,
