fold1/class_3/f1-score,fold4/class_0/recall,fold3/class_1/f1-score,fold0/class_2/recall,fold4/class_2/recall,fold0/class_3/precision,fold1/class_0/precision,fold0/class_1/precision,fold1/class_3/recall,fold2/confusion_matrix,fold0/class_0/recall,fold3/class_3/precision,fold2/class_1/f1-score,fold0/class_0/precision,fold4/class_1/f1-score,fold4/class_3/f1-score,fold2/class_3/recall,fold2/class_3/f1-score,fold3/class_0/precision,fold4/class_3/precision,fold3/class_1/precision,fold0/class_1/f1-score,fold2/class_0/f1-score,fold2/class_2/precision,fold3/class_0/f1-score,fold0/class_3/recall,fold1/class_0/f1-score,fold1/class_1/precision,fold4/class_1/precision,fold3/class_0/recall,fold4/class_2/precision,fold2/class_2/f1-score,fold0/class_2/precision,fold0/class_2/f1-score,fold2/class_1/precision,fold1/class_0/recall,fold4/class_0/f1-score,fold0/confusion_matrix,fold4/class_0/precision,fold3/class_2/recall,fold4/confusion_matrix,fold3/confusion_matrix,fold3/class_3/recall,fold2/class_1/recall,fold4/class_1/recall,fold3/class_1/recall,fold1/confusion_matrix,fold3/class_2/precision,fold2/class_0/recall,fold3/class_3/f1-score,cv5/fold_metrics,fold1/class_2/recall,fold0/class_1/recall,fold1/class_1/recall,fold0/class_0/f1-score,fold4/class_2/f1-score,fold2/class_0/precision,fold0/class_3/f1-score,_timestamp,_runtime,fold4/class_3/recall,fold2/class_3/precision,fold2/class_2/recall,_step,fold1/class_3/precision,fold1/class_2/precision,fold3/class_2/f1-score,fold1/class_1/f1-score,fold1/class_2/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://vr8m1aiyvnprbgrnsm9t1j6m8ffz72bn1jgidxh5gnscpkqxr23jrvrpcs4xbrvhupsxv6zgr7a8pwv58omt8qlrgyyk2dv576d48xxknyvfhcapyqsck0h5tbxhi12d:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://6b9rb4a9pdaoxs3mbqxqc05c14ra56qs9y9pu1a2t73ljckhmszbtr7mihxvb2peig0x5dvouddtaqmyrv08qckg1mzh7me72r44bnszpc60wuvsqn61cxf9rv5lp2bt/fold0/confusion_matrix.table.json', 'sha256': '3be234be25c5d9839afeefd77cd36e3560798ba4c660d55e247fcb20c6060c12', 'size': 143, 'ncols': 5, 'path': 'media/table/fold0/confusion_matrix_0_3be234be25c5d9839afe.table.json'}",,,,,,,,,,,,,,,,,,,,,1770721124.3441336,300.137493591,,,,0,,,,,
,,,,,,,,,,0.9691558441558441,,,0.9900497512437811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9794913863822805,,,,1770721124.3464475,300.139340072,,,,1,,,,,
,,,,,,,0.9178571428571428,,,,,,,,,,,,,,0.9328493647912885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.948339483394834,,,,,,1770721124.3470125,300.139847794,,,,2,,,,,
,,,0.9678972712680578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9852941176470589,0.9765182186234818,,,,,,,,,,,,,,,,,,,,,,,,,1770721124.3474717,300.140228361,,,,3,,,,,
,,,,,0.9032258064516129,,,,,,,,,,,,,,,,,,,,0.9491525423728814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9256198347107438,1770721124.3478515,300.140616755,,,,4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://3tq8fo6trcjffmt1i8dslp4lnhjuuqyep9axiirjkrem8jd62gesrqtmf6wl8k8545og8r9eugp35twxkpzxfqqsi0h8bsicurnakw1626umyo47hrlm7sdmdc36aw8v:latest/fold1/confusion_matrix.table.json', 'nrows': 4, 'size': 141, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://cd6pkcpa5d4njo4m0jpijbh6w6ito4hgtno6nw0yx22titbtd1b4etl2vsa38s2l0gxrgxqk21dej5bnujdyq3t7ftm2vgm3r5xr7m1v93zotsw7sxow3etxcgv0ekr2/fold1/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'sha256': 'b079089d7dd8bf3328ef0b9026e9fe6c547d3b91212a3d87e3d761d1ee7b7191', 'path': 'media/table/fold1/confusion_matrix_5_b079089d7dd8bf3328ef.table.json'}",,,,,,,,,,,,1770721151.1401258,326.933098821,,,,5,,,,,
,,,,,,0.9925595238095238,,,,,,,,,,,,,,,,,,,,0.9918215613382899,,,,,,,,,0.9910846953937593,,,,,,,,,,,,,,,,,,,,,,,1770721151.1418285,326.934574127,,,,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9964028776978417,,,,,,,,,,,,,,,,,,,,,,,,,,0.9892857142857143,,,,,1770721151.1422176,326.934913997,,,,7,,,,0.992831541218638,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9951219512195122,,,,,,,1770721151.1425798,326.935328406,,,,8,,0.9855072463768116,,,0.9902912621359223
0.9680170575692963,,,,,,,,0.961864406779661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721151.1429842,326.935727916,,,,9,0.9742489270386266,,,,
,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://x4jd46p8ldduzqq7aa9urqlb5hbppw9yztug7r4sa4pan85vsp9u4yrl1uh285cxucm87bz7idduk2muk8nd76t2v6u4cma24s7z9tf42u1p7e9fgv045fjnpvks5t8y:latest/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_10_061d7df10780a14b70fa.table.json', 'sha256': '061d7df10780a14b70fadd0ac12afa4c3073eed428f52c2cddc4ae069c91e624', 'size': 141, '_type': 'table-file', 'nrows': 4, 'log_mode': 'IMMUTABLE', 'ncols': 5, 'artifact_path': 'wandb-client-artifact://xoqwo0m3ox1afq82j0wpjrztdqgbd8io27g3ydhyr5hkis62xp8uhc2uf2zr4shfye8zihi9lchyip8pzxuoepijqjg9ajddo6sc5sm0t94xzqrsuxunhdgrk1iuqsqb/fold2/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721167.4354317,343.228386882,,,,10,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.9883268482490273,,,,,,,,,,,,,,,,,,,,,,,,,,0.9906396255850234,,,,,,,,0.9860248447204969,,1770721167.4372895,343.230133185,,,,11,,,,,
,,,,,,,,,,,,0.9614604462474645,,,,,,,,,,,,,,,,,,,,,,0.9713114754098361,,,,,,,,,0.9518072289156626,,,,,,,,,,,,,,,1770721167.4377172,343.230579704,,,,12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.9874411302982732,,,,,,,,0.9882168106834249,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721167.438146,343.23091701,,,0.9889937106918238,13,,,,,
,,,,,,,,,,,,,,,,0.960431654676259,0.9587073608617595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721167.4385397,343.231261905,,0.956989247311828,,14,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'sha256': '2418ca1b898473aa4fbb723650e2a642fe8ae2be2f74baf45782fa29cc556e81', 'artifact_path': 'wandb-client-artifact://cb1v430rfjfic9e1p56blmt7q809wlaeqkp2ybfk5eo51mn23qzr53rcq1xcif4k9u47yxepxzvjlhjyixqod4cmekmc4v95llcnlf4f0i0viksb2huvkmw63cp2nune/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_15_2418ca1b898473aa4fbb.table.json', '_type': 'table-file', 'ncols': 5, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://tbgafwg2ef29t52empbjdyzsysvg51itdpxjrmyegmc36hagb23df2zcpnqg0wyhab2mlykpk9qnqh4i1brpezbf8kwe7ij9u5pl6yz6y19kvrgcxjzkuz1ruqoyigax:latest/fold3/confusion_matrix.table.json', 'size': 142, 'nrows': 4}",,,,,,,,,,,,,,,,,1770721191.5372918,367.330251186,,,,15,,,,,
,,,,,,,,,,,,,,,,,,0.985781990521327,,,,,,0.9896907216494846,,,,,0.9936305732484076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721191.5392292,367.332099079,,,,16,,,,,
