fold3/confusion_matrix,fold1/class_3/precision,fold0/class_3/recall,fold4/class_0/precision,fold2/class_3/recall,fold4/class_1/f1-score,fold3/class_1/recall,fold4/class_1/precision,fold3/class_3/f1-score,fold2/class_0/precision,fold1/class_2/recall,fold2/class_1/recall,fold0/class_3/f1-score,fold1/class_1/precision,fold2/class_3/precision,fold4/class_2/recall,fold0/class_0/f1-score,fold2/class_0/f1-score,fold3/class_2/f1-score,fold2/class_2/precision,fold1/class_2/precision,fold1/class_3/f1-score,fold1/class_1/f1-score,fold0/class_1/precision,fold3/class_3/recall,fold4/class_3/precision,fold1/confusion_matrix,fold2/confusion_matrix,fold2/class_1/precision,fold0/class_2/recall,fold1/class_3/recall,fold2/class_0/recall,fold0/class_3/precision,fold3/class_0/f1-score,_step,fold2/class_2/recall,fold4/confusion_matrix,cv5/fold_metrics,fold2/class_2/f1-score,fold0/class_2/f1-score,fold3/class_0/recall,fold4/class_3/f1-score,fold4/class_1/recall,fold0/confusion_matrix,_runtime,_timestamp,fold1/class_2/f1-score,fold4/class_2/f1-score,fold1/class_1/recall,fold3/class_0/precision,fold0/class_1/recall,fold1/class_0/recall,fold3/class_1/f1-score,fold0/class_2/precision,fold4/class_3/recall,fold0/class_1/f1-score,fold0/class_0/precision,fold3/class_1/precision,fold3/class_2/recall,fold4/class_2/precision,fold4/class_0/f1-score,fold1/class_0/precision,fold0/class_0/recall,fold2/class_1/f1-score,fold1/class_0/f1-score,fold2/class_3/f1-score,fold4/class_0/recall,fold3/class_3/precision,fold3/class_2/precision
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"{'nrows': 4, 'log_mode': 'IMMUTABLE', 'sha256': '40d1b15f191a2e0c130aeaada616853b2c17b2191b69beb2c05973f8e17e812c', 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://ffuwzvafc7ombeyt5odvhfag51uxtw1j7hznnbg5wljubx5ym69uyp9jvp8h6mqvrf88km0whtw68m21cotnqc0lhq64fsgldr4ganyx58nvn9l14np6frvy3p4yk1zg:latest/fold0/confusion_matrix.table.json', 'size': 143, 'path': 'media/table/fold0/confusion_matrix_0_40d1b15f191a2e0c130a.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://1v9g0a9cqew0l7d6gg3drc1gy2sm776x98r0rpnpy6erarp806sni69nnps4hs2epjts4uf491d411e4asfj795fi7lxq0ukp49z9enkpn8ilcku0gxonw2n1406uy3b/fold0/confusion_matrix.table.json'}",22.687145657,1770708630.917296,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.9839228295819936,,,,,,,,,,,,,,,,,,1,,,,,,,,,,22.688483627,1770708630.918971,,,,,,,,,,,0.9745222929936306,,,,,,0.9935064935064936,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.9852941176470589,,,,,,,,,,,2,,,,,,,,,,22.688822956,1770708630.9193702,,,,,0.988929889298893,,,,,0.9871086556169429,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9390048154093098,,,,,3,,,,,0.9637561779242174,,,,,22.689008758,1770708630.9196756,,,,,,,,0.9898477157360406,,,,,,,,,,,,,,,
,,0.9830508474576272,,,,,,,,,,0.9523809523809523,,,,,,,,,,,,,,,,,,,,0.9235668789808917,,4,,,,,,,,,,22.689177276,1770708630.9198852,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://v7a9050pumyl21qdrv71bk4qm6vm9oyyqrpv11wwj66erd5yiipb0x8gq9apr8swhrc236lmd5p0opon68b4rpap2g894lugoptyh5q7wl28o0oqhiqw342invhe9xx3:latest/fold1/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'artifact_path': 'wandb-client-artifact://jc4awjcrxc117xtc3raxy3hn7nyyra34xc9547jxcdox3yy5yux3hisxjw3lbxcfbyqeo03j3iawwkvemisoskwheq4phicy4ic9e8ta4bj3fqcofvy4mdea3v1beroe/fold1/confusion_matrix.table.json', 'sha256': 'c4918fdf7a8915b6a554996fe4cafbdb264220cd0a7703e5b158a60caad0279b', 'size': 144, 'path': 'media/table/fold1/confusion_matrix_5_c4918fdf7a8915b6a554.table.json', 'nrows': 4, 'log_mode': 'IMMUTABLE'}",,,,,,,,5,,,,,,,,,,32.244959844,1770708640.475355,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,32.246003163,1770708640.4764595,,,,,,0.9806835066864784,,,,,,,,,,0.9777777777777777,,,0.9792284866468842,,,,
,,,,,,,,,,,,,0.9732824427480916,,,,,,,,,0.940959409594096,,,,,,,,,,,,7,,,,,,,,,,32.246315068,1770708640.4769073,,,0.9107142857142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.9723577235772358,,,,,,,,,,0.9598715890850722,,,,,,,,,,,,,,8,,,,,,,,,,32.24656068,1770708640.4772093,0.9660743134087237,,,,,,,,,,,,,,,,,,,,,,
,0.8729508196721312,,,,,,,,,,,,,,,,,,,,0.8875,,,,,,,,,0.902542372881356,,,,9,,,,,,,,,,32.246792204,1770708640.477448,,,,,,,,,,,,,,,,,,,,,,,
