fold2/class_0/recall,_timestamp,fold4/class_1/recall,fold2/class_0/f1-score,fold1/class_1/recall,fold1/confusion_matrix,_runtime,fold3/class_1/precision,fold4/class_0/recall,fold4/class_0/precision,fold0/confusion_matrix,fold1/class_0/precision,fold2/class_1/precision,fold0/class_0/recall,fold4/class_1/precision,fold1/class_1/f1-score,cv5/fold_metrics,fold1/class_0/recall,fold0/class_0/precision,fold3/class_0/f1-score,fold0/class_0/f1-score,fold3/class_0/precision,fold2/class_0/precision,fold2/class_1/recall,fold2/class_1/f1-score,fold3/class_1/recall,_step,fold0/class_1/recall,fold1/class_0/f1-score,fold3/class_0/recall,fold4/confusion_matrix,fold0/class_1/precision,fold2/confusion_matrix,fold4/class_0/f1-score,fold3/confusion_matrix,fold3/class_1/f1-score,fold0/class_1/f1-score,fold1/class_1/precision,fold4/class_1/f1-score
,1770752656.485631,,,,,340.872551603,,,,"{'size': 83, 'artifact_path': 'wandb-client-artifact://gdxunvgdvrn6mn735jloxvlnl53nvun8xhirsm4wexpk11jjz0melupkjlsx2rjzxqzlrm2xdzokwycfyd39f2m6zcxxbsn9fn5p0v6uqn9t6srpdt11n0dohmpijj6x/fold0/confusion_matrix.table.json', 'ncols': 3, 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://4g5gyaatqoenlcktr9v1j6nziqx1x9m4k6twbuw87mzrywlxu5m1ey8gt7f9re5hxqz3lkttkpc37igbaoir7t6o9k7cz9gfmmkgboabgt7v1gs3qd33daigrotv91aq:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_071685a9291df54f7b3a.table.json', 'sha256': '071685a9291df54f7b3a4af5c7426b10cec4aa5970efa3ead7b98dd68ae9fdf9', '_type': 'table-file', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,1770752656.486496,,,,,340.873240169,,,,,,,1,,,,,0.9870939516570053,,0.9935050638485249,,,,,,1,,,,,,,,,,,,
,1770752656.4867008,,,,,340.873384528,,,,,,,,,,,,,,,,,,,,2,0.9877423822714682,,,,1,,,,,0.9938333972058669,,
,1770752934.8813622,,,,"{'artifact_path': 'wandb-client-artifact://rodi41jqo0dl1nqirfwb8s5innt622aefmw8u7f7nj80l8cdf2e5y8bw7u61w0dzcph6k27i8624wkl0hevll8d8cstg40vf8u54z421jwkxrruiqyulv9t2pdy4lhe0/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://rjlzkokazj59t5kv710a0i1lox14a6z06gzqipmjo2wkbntyglkt4sqf38081nq2vk4itc5ylck44m0hef6dcp3499hqarsi1ahluibwetuhss1rt3tz4xkt412nft0i:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_3_639ec6f64adde2df7f96.table.json', 'sha256': '639ec6f64adde2df7f961a4de576b7608b0f6cbc9340b92334edf2ce13a5a5c1', 'size': 83, '_type': 'table-file', 'ncols': 3, 'nrows': 2, 'log_mode': 'IMMUTABLE'}",619.268400829,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
,1770752934.8827376,,,,,619.269633573,,,,,0.9835797580557271,,,,,,1,,,,,,,,,4,,0.9917219149481704,,,,,,,,,,
,1770752934.883164,,,0.9843490304709142,,619.269920587,,,,,,,,,0.992112794025267,,,,,,,,,,,5,,,,,,,,,,,1,
,1770753304.8762696,,,,,989.263079431,,,,,,,,,,,,,,,,,,,,6,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://j8hbcxob2xw1tf75o2b3f12aixodci4sup1zsxe394mexiajnfysqkuzfikuvzr8fvrbec4tp4q6hu21xh56tjq19489mvzs9z7p9v0d2jb3diu38eiobct4ajkypksd/fold2/confusion_matrix.table.json', 'nrows': 2, '_type': 'table-file', 'path': 'media/table/fold2/confusion_matrix_6_c7079d626921f180ba2e.table.json', 'sha256': 'c7079d626921f180ba2ebc0c61f29e86a6271ed2e8f29a4d331354acacdaa52c', '_latest_artifact_path': 'wandb-client-artifact://egikgnafjab2zvv2v3zyyiwhqm6wwrhjppsxjdapf5mxmzo0izi0pbejfxo0foqd9nd2du3fbt0bq6csah105fjvg8x3l7k1hw5k0jcangmdrg2dklzpmezp0thnqagc:latest/fold2/confusion_matrix.table.json', 'size': 83, 'ncols': 3}",,,,,,
0.9998521803399852,1770753304.8772326,,0.9915889391801507,,,989.263961525,,,,,,,,,,,,,,,,0.9834611609901494,,,,7,,,,,,,,,,,,
,1770753304.877413,,,,,989.264101945,,,,,,0.9998592193714145,,,,,,,,,,,0.9842364190687362,0.9919863121322695,,8,,,,,,,,,,,,
,1770753540.0171525,,,,,1224.404101752,,,,,,,,,,,,,,,,,,,,9,,,,,,,,"{'path': 'media/table/fold3/confusion_matrix_9_c2123472ad120d0e2b3b.table.json', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://e3776onye8qe5auomfy5udr4niigyyn65j381ikv247jot290jtmha8zpg7fz42kcmcltl4tf2aj0b2ln59lnnweitaohesn6b5pde6vgq5jf6lzhp669q6s06nj52ea/fold3/confusion_matrix.table.json', 'size': 83, 'sha256': 'c2123472ad120d0e2b3b5bcf1d04faaa5cea7bb97ec8b1eb720cbb6bbac6bfaa', '_type': 'table-file', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://bllzx6dp4bhd4k351gvt9gozka833i0vg7j52d5xdk19gtmtfa13h665qogx2ja9iua1tnvu2cb97f9usq5ioli8n94jjlhbn0x2620u33m04qiohxuxaclslxlx2x1j:latest/fold3/confusion_matrix.table.json', 'nrows': 2}",,,,
,1770753540.0187578,,,,,1224.405654096,,,,,,,,,,,,,0.9926450358577429,,0.9853974727795783,,,,,10,,,1,,,,,,,,,
,1770753540.0191731,,,,,1224.405907493,1,,,,,,,,,,,,,,,,,,0.9861072616407982,11,,,,,,,,,0.9930050412545572,,,
,1770753796.0110161,,,,,1480.397786681,,,,,,,,,,,,,,,,,,,,12,,,,"{'_type': 'table-file', 'ncols': 3, 'sha256': '9fc04e527da67dcc35d3687f06a75a8e39b945e7365654b8029ba36c9a85fd5c', '_latest_artifact_path': 'wandb-client-artifact://gin7fwjwztoymhfnhfzur6gc8cxrxkxfprgbx8c2z6fs3pfsqzbhko7t5pbl23p29swgp63kw78aw9deou2gecf23gaac9gslrt36ci01uf2s4blckmzrm2oo2uecsja:latest/fold4/confusion_matrix.table.json', 'path': 'media/table/fold4/confusion_matrix_12_9fc04e527da67dcc35d3.table.json', 'log_mode': 'IMMUTABLE', 'nrows': 2, 'artifact_path': 'wandb-client-artifact://16v7aoqfxm0kke2lzxryxs9hl2oa0o5s22tdcelori8qz1vfimsr2uh6p5y8uk3cgvdq1fvsb4lql0otc6zsed8rfs41sdhxbpumxug4mxh8b6vzwoi59zx1eo8z5xg1/fold4/confusion_matrix.table.json', 'size': 83}",,,,,,,,
,1770753796.0119445,,,,,1480.398692582,,1,0.9868349075526057,,,,,,,,,,,,,,,,,13,,,,,,,0.9933738367504268,,,,,
,1770753796.0121448,0.9874930709534369,,,,1480.398825277,,,,,,,,1,,,,,,,,,,,,14,,,,,,,,,,,,0.9937071835724371
,1770753796.347635,,,,,1480.734451032,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://rowt1zancx8fk9xryuroxyue7yxvgh30g5jt0fqvvwlr52obkylnwsfuifs5ux6uddpryx891583mhjlpywkp1w42i4gjljqzwsaoftsfsp6zkxy38sx1hed1h7t4lhe/cv5/fold_metrics.table.json', 'sha256': '720ea6a66942cf7e1e78b71b193168073b16320a05e8c2624b84ddeb6bb3d3a4', '_type': 'table-file', 'size': 771, 'ncols': 9, 'nrows': 5, 'path': 'media/table/cv5/fold_metrics_15_720ea6a66942cf7e1e78.table.json', '_latest_artifact_path': 'wandb-client-artifact://iu1b2xlaf6ukqt33ib0ueytlqz4zz5p5ed4mszgxdtbrkrv4dz6353nr1b2tybf24ken1sy962tlbsqxkpwt1tlkgl43ui8zs0jh0pbtka3t8y9ekgx9ugokkk6w12gd:latest/cv5/fold_metrics.table.json'}",,,,,,,,,,15,,,,,,,,,,,,
