fold0/class_6/f1-score,fold2/class_3/f1-score,fold2/class_10/recall,fold1/class_7/recall,fold1/class_10/recall,fold0/class_2/recall,fold4/class_5/precision,fold1/confusion_matrix,fold4/class_4/recall,fold3/class_1/f1-score,fold0/class_5/f1-score,fold0/class_7/precision,fold4/class_1/precision,fold4/class_2/recall,fold3/class_4/recall,fold4/class_10/f1-score,fold0/class_10/precision,fold2/class_3/recall,fold4/class_5/f1-score,fold4/class_7/precision,fold2/class_4/f1-score,fold1/class_10/f1-score,fold2/class_1/recall,fold1/class_1/f1-score,fold0/class_10/recall,fold2/class_9/recall,fold4/class_6/recall,fold3/class_0/precision,fold4/class_3/recall,fold1/class_1/precision,fold3/class_5/precision,fold3/class_6/recall,fold0/class_3/precision,fold1/class_3/precision,fold4/class_10/precision,fold3/class_3/f1-score,_step,fold3/class_4/precision,fold2/class_5/recall,fold3/class_1/recall,fold3/class_9/precision,fold4/class_7/recall,fold2/class_2/recall,fold4/class_7/f1-score,fold4/class_8/f1-score,fold0/class_2/f1-score,fold0/confusion_matrix,fold0/class_9/f1-score,fold0/class_4/precision,fold1/class_4/recall,fold1/class_4/f1-score,fold2/class_8/recall,fold4/class_0/recall,fold1/class_6/f1-score,fold1/class_5/f1-score,fold2/class_8/f1-score,fold2/class_1/f1-score,fold2/class_6/f1-score,fold1/class_8/f1-score,fold4/class_0/precision,fold4/class_4/precision,fold4/class_2/precision,fold1/class_0/f1-score,fold4/class_9/f1-score,fold4/class_9/precision,fold2/class_5/precision,fold2/confusion_matrix,fold4/class_10/recall,fold3/class_7/precision,fold0/class_1/f1-score,fold0/class_7/f1-score,fold1/class_10/precision,fold2/class_2/f1-score,fold0/class_0/precision,fold2/class_0/recall,fold2/class_7/recall,fold4/confusion_matrix,fold4/class_1/f1-score,fold3/class_4/f1-score,fold1/class_9/precision,fold4/class_8/precision,fold3/class_5/recall,fold2/class_10/f1-score,fold2/class_4/precision,fold3/class_8/precision,_runtime,fold1/class_0/recall,fold3/class_7/f1-score,fold1/class_7/f1-score,fold4/class_2/f1-score,fold0/class_8/recall,fold3/class_2/recall,fold4/class_4/f1-score,fold2/class_3/precision,fold2/class_7/precision,fold4/class_9/recall,fold0/class_8/f1-score,fold0/class_5/precision,fold0/class_2/precision,fold3/class_1/precision,fold0/class_1/precision,fold3/confusion_matrix,fold0/class_0/f1-score,fold2/class_6/precision,fold3/class_3/precision,fold4/class_6/f1-score,fold2/class_4/recall,fold2/class_0/precision,fold4/class_8/recall,fold3/class_9/f1-score,fold1/class_2/precision,fold4/class_5/recall,fold2/class_7/f1-score,fold0/class_4/f1-score,fold4/class_1/recall,fold1/class_4/precision,fold0/class_9/recall,fold1/class_1/recall,fold1/class_5/recall,fold0/class_6/recall,fold3/class_10/precision,fold0/class_3/recall,fold3/class_2/precision,fold2/class_0/f1-score,fold1/class_2/recall,fold0/class_5/recall,fold0/class_0/recall,fold3/class_3/recall,fold2/class_2/precision,fold1/class_2/f1-score,fold0/class_6/precision,fold0/class_3/f1-score,fold1/class_0/precision,fold3/class_8/recall,fold3/class_2/f1-score,fold3/class_0/f1-score,fold2/class_6/recall,fold2/class_1/precision,fold1/class_5/precision,fold3/class_7/recall,fold2/class_5/f1-score,fold3/class_6/f1-score,fold3/class_6/precision,fold1/class_6/recall,fold1/class_8/recall,fold1/class_3/f1-score,fold0/class_7/recall,fold3/class_10/recall,fold3/class_8/f1-score,fold1/class_9/recall,fold3/class_9/recall,fold1/class_6/precision,fold2/class_10/precision,cv5/fold_metrics,fold2/class_9/f1-score,fold2/class_8/precision,fold0/class_9/precision,_timestamp,fold1/class_7/precision,fold3/class_0/recall,fold4/class_0/f1-score,fold3/class_5/f1-score,fold0/class_8/precision,fold0/class_1/recall,fold3/class_10/f1-score,fold1/class_3/recall,fold1/class_9/f1-score,fold4/class_3/precision,fold4/class_6/precision,fold0/class_10/f1-score,fold1/class_8/precision,fold0/class_4/recall,fold4/class_3/f1-score,fold2/class_9/precision
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://cmqp0y1watvwrnbeoqq05h6snki6b8oix8rap58b0a1icaibmf21zxiqvs3agsrz8kaczz2k004whqhk4vwcirhigv2svyhmq3vghvrauy2jpmy1msdbp6c04it4bu0y/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://l0lv0d3lauzs5dbyqnn848h1514vyfht72m8olderu2i2wu8zt4fg6fgmwql3t0pt6diw2zib5vcrgwkbs7x25px7eo8ml7rswhuqwlzihflbn822xm3btrz1m1mnwhl:latest/fold0/confusion_matrix.table.json', 'nrows': 11, 'path': 'media/table/fold0/confusion_matrix_0_2590877791abb40238fa.table.json', '_type': 'table-file', 'ncols': 12, 'log_mode': 'IMMUTABLE', 'size': 578, 'sha256': '2590877791abb40238fa1034caf419f0fd276b2c9f6f20320adc0e6a4629bbc8'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6683.712877563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930447.4651399,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9951545741324921,,,,,,,,,,,,6683.714121371,,,,,,,,,,,,,,,,,0.994088359488246,,,,,,,,,,,,,,,,,,,,,,,,0.9930244270964492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930447.4665773,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9189551239115874,,,,,,,,,,,,,,,,6683.714419132,,,,,,,,,,,,,,,0.8705583756345178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930447.4669576,,,,,,0.9730496453900709,,,,,,,,,,
,,,,,0.9567901234567902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.9627329192546584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6683.714683988,,,,,,,,,,,,,0.96875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930447.4672513,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9560570071258907,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6683.71495699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9640718562874252,,,,,,,,,,0.9600477042337507,,,,,,,,,,,,,,,,,,,,,,,,,,1770930447.4675245,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,0.9773095623987034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6683.715166726,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.967121090617482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930447.4677913,,,,,,,,,,,,,,0.9571428571428572,,
,,,,,,,,,,0.9478970495919649,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6683.715277366,,,,,,,,,,,,0.9402241594022416,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9556962025316456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930447.4679983,,,,,,,,,,,,,,,,
0.9627659574468085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6683.715397875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9589403973509933,,,,,,,,,,,0.9666221628838452,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930447.4681191,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9838709677419355,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.978134110787172,,,,,,,,,,,,,,,6683.715504066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.972463768115942,,,,,,,,,,,1770930447.468235,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6683.715618933,,,,,0.9939849624060151,,,,,,0.964963503649635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930447.4683483,,,,,0.9375886524822695,,,,,,,,,,,
