fold2/class_4/precision,fold1/class_2/f1-score,fold3/class_2/precision,fold3/class_6/f1-score,fold0/class_2/f1-score,fold2/class_8/precision,fold4/class_10/recall,fold0/class_3/f1-score,fold4/confusion_matrix,fold1/class_1/precision,fold4/class_8/precision,fold4/class_1/recall,fold4/class_9/recall,fold1/class_10/f1-score,fold1/class_10/recall,fold2/class_7/recall,fold0/class_6/recall,fold1/class_1/recall,fold3/class_2/f1-score,fold1/class_10/precision,fold1/class_2/precision,fold4/class_6/recall,fold2/class_0/f1-score,fold4/class_8/f1-score,fold1/class_3/precision,fold4/class_8/recall,fold0/class_1/precision,fold4/class_7/recall,fold2/class_4/f1-score,fold1/class_4/f1-score,fold2/class_8/recall,fold1/class_4/recall,fold2/class_9/f1-score,fold0/class_8/precision,fold1/class_3/recall,fold0/class_6/f1-score,fold4/class_9/f1-score,fold1/class_3/f1-score,fold2/class_3/f1-score,fold3/class_1/f1-score,fold3/class_0/precision,fold3/class_10/precision,fold3/class_8/f1-score,fold2/class_5/precision,fold1/class_1/f1-score,fold3/class_9/recall,fold4/class_3/f1-score,fold0/class_10/f1-score,fold1/class_0/precision,fold2/class_1/f1-score,fold3/class_4/recall,fold0/class_5/precision,fold0/class_9/f1-score,fold4/class_6/f1-score,fold1/class_8/precision,fold1/class_9/f1-score,fold3/class_9/f1-score,fold2/class_9/recall,fold2/class_2/recall,fold1/class_4/precision,_timestamp,fold0/class_2/precision,fold2/class_6/precision,fold3/class_5/precision,fold3/class_10/recall,fold4/class_0/f1-score,fold4/class_4/f1-score,fold0/class_10/precision,fold4/class_1/precision,fold0/class_0/recall,fold2/class_10/recall,fold3/class_5/f1-score,fold3/class_8/recall,fold0/class_8/recall,fold1/class_5/precision,fold2/class_9/precision,fold0/class_4/recall,fold4/class_4/recall,fold0/class_3/precision,fold1/class_8/recall,fold1/class_8/f1-score,fold0/class_7/f1-score,fold0/class_7/precision,fold0/class_6/precision,fold4/class_5/precision,fold0/class_0/f1-score,fold1/class_6/f1-score,fold4/class_7/f1-score,fold4/class_2/recall,fold4/class_9/precision,fold0/class_3/recall,fold2/class_8/f1-score,fold0/confusion_matrix,fold2/class_2/precision,fold3/class_6/recall,fold0/class_1/f1-score,fold4/class_5/recall,fold3/class_3/recall,fold0/class_5/f1-score,fold2/class_7/precision,fold1/class_7/precision,fold2/class_5/f1-score,fold0/class_4/f1-score,fold1/class_0/f1-score,fold3/class_4/precision,fold3/class_4/f1-score,fold0/class_4/precision,fold2/class_0/recall,fold2/confusion_matrix,fold1/class_6/precision,fold3/class_5/recall,fold2/class_0/precision,fold2/class_6/f1-score,fold4/class_5/f1-score,fold2/class_7/f1-score,fold4/class_6/precision,fold4/class_7/precision,fold2/class_4/recall,fold4/class_3/recall,fold3/class_9/precision,fold0/class_7/recall,fold1/class_0/recall,fold4/class_3/precision,fold2/class_1/precision,fold1/class_2/recall,fold2/class_3/precision,fold3/class_3/precision,fold1/confusion_matrix,fold0/class_2/recall,fold3/class_0/f1-score,fold1/class_5/recall,_runtime,fold3/class_3/f1-score,fold1/class_5/f1-score,fold3/class_8/precision,fold3/class_2/recall,fold3/confusion_matrix,fold3/class_1/precision,fold1/class_7/recall,fold4/class_10/precision,fold0/class_0/precision,fold2/class_2/f1-score,fold1/class_9/recall,fold1/class_6/recall,fold4/class_10/f1-score,fold0/class_5/recall,fold3/class_10/f1-score,fold0/class_8/f1-score,fold3/class_1/recall,fold2/class_5/recall,fold0/class_9/recall,fold1/class_7/f1-score,fold4/class_1/f1-score,fold2/class_10/f1-score,fold2/class_10/precision,fold4/class_4/precision,fold4/class_0/precision,fold0/class_1/recall,fold3/class_7/f1-score,fold4/class_2/precision,fold3/class_6/precision,fold3/class_7/recall,fold0/class_10/recall,_step,fold3/class_7/precision,fold1/class_9/precision,cv5/fold_metrics,fold2/class_3/recall,fold2/class_1/recall,fold3/class_0/recall,fold4/class_0/recall,fold0/class_9/precision,fold4/class_2/f1-score,fold2/class_6/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770945133.3905911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'ncols': 12, 'size': 569, 'path': 'media/table/fold0/confusion_matrix_0_92a95a2af1fac94a48f3.table.json', 'artifact_path': 'wandb-client-artifact://n5p45261w9rl78i14aklssikqmk8fidn772015di25djwl7ve66sa0hlyl3oxqy6e9i2n6z562bnocjvgysvy5eo0ffw0dbcr2d2hs41be2veykco0ljqe4vup16ogyq/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://dx1dhi4imqn90054lqtkkqlf1guvxddo8fatgj9lyelivgnnwdblsax0iitkg1oau8z0f5zhfpxfp8udzpyx9k6s2htt1c07p13wiyg471ev904vys8ne8l7h9wdgwr5:latest/fold0/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'nrows': 11, 'sha256': '92a95a2af1fac94a48f3e8a260c5f527639f6ea51c717764a5b2120c6547a880'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747.26606078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770945133.3918867,,,,,,,,,0.9996834190740008,,,,,,,,,,,,,,,,0.9994263446284097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747.267044191,,,,,,,,,0.9991694023652257,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9943661971830986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770945133.3921082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9968231556653724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747.267208487,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992922859164898,,,,,,2,,,,,,,,,,
,,,,0.9985549132947977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770945133.3922594,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9971139971139971,,,5747.267429676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
,,,,,,,0.9977678571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770945133.3923948,,,,,,,,,,,,,,,,,,0.9955456570155902,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747.2674818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770945133.3925226,,,,,,,,,,,,,,,,0.9983539094650206,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983539094650206,,,,0.9983539094650206,,,,,,,,,,,,,,,,,,,,,,,,,5747.267597129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1770945133.392663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996672212978369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747.267705774,,,,,,,,,,,,,,0.9993346640053227,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
,,,,,,,,,,,,,,,,0.9969348659003832,,,,,,,,,,,,,,,,,,,0.9976993865030674,,,,,,,,,,,,,,,,,,,,,,,,,1770945133.3927803,,,,,,,,,,,,,,,,,,,,,,,0.9984650805832693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747.267849449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770945133.392898,,,,,,,,,,,,,,,,,,,,,0.9996143463170073,0.9992289899768697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5747.267949177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1770945133.3930058,,,,,,,,,,,,,0.9956140350877193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747.268044567,,,,,,,,,,,,,,,,0.9978021978021978,,,,,,,,,,,,,,,,9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9957773512476008,,,,,,,,1770945133.3931136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747.268199734,,,,,,,,,,,,,,,,,,,0.9938697318007663,,,,,,,,,,,,,10,,,,,,,,0.9976923076923077,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9967141292442497,,,,,,,,,,,,,1770945133.3932328,,,,,,,0.9978070175438597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747.268276487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9956236323851203,11,,,,,,,,,,
