fold3/class_0/f1-score,fold3/confusion_matrix,fold4/class_1/f1-score,fold4/confusion_matrix,fold1/class_0/precision,fold4/class_0/precision,fold2/class_1/f1-score,fold2/class_0/precision,fold4/class_1/precision,fold1/confusion_matrix,cv5/fold_metrics,fold0/class_1/f1-score,fold3/class_1/f1-score,fold4/class_0/f1-score,fold3/class_1/recall,fold3/class_1/precision,fold0/class_0/recall,fold4/class_0/recall,_timestamp,fold0/class_1/precision,fold4/class_1/recall,_step,fold2/class_1/precision,_runtime,fold0/class_0/f1-score,fold0/confusion_matrix,fold2/class_0/f1-score,fold0/class_0/precision,fold1/class_1/precision,fold2/class_1/recall,fold2/confusion_matrix,fold0/class_1/recall,fold3/class_0/recall,fold1/class_1/recall,fold1/class_1/f1-score,fold1/class_0/recall,fold2/class_0/recall,fold1/class_0/f1-score,fold3/class_0/precision
,,,,,,,,,,,,,,,,,,1770739649.1063912,,,0,,3562.551025195,,"{'path': 'media/table/fold0/confusion_matrix_0_3328d6d0839a87166add.table.json', 'log_mode': 'IMMUTABLE', 'sha256': '3328d6d0839a87166add7cbbd3bdb7cd856b367aa97f3620951aa431eb96ba99', 'size': 83, '_latest_artifact_path': 'wandb-client-artifact://uy70xvospk6hfudqfu54rkgziw1535clsv7oq3za1247rxccso671gz5p9sd2ap5dw9y8vq3y9a43o96fydw8ydv2njrbufx03b3xdno8u6i75k26wpy7y22ivk11j0r:latest/fold0/confusion_matrix.table.json', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://try7o4f20talb317u5hq212aairllr546zw7ux6wf6h40decrgs12karb31c6234n6x4p0256iet7fyxnmqtdfuzpdbctbq6fkjfh1k8u13rb51yyethpaek4o9x5syu/fold0/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 2}",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,,1770739649.1077232,,,1,,3562.552018992,0.9945325082648131,,,0.9891244783543397,,,,,,,,,,,
,,,,,,,,,,,0.9955131995408856,,,,,,,1770739649.1079483,1,,2,,3562.552183561,,,,,,,,0.9910664819944598,,,,,,,
,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://27d3zsb5pu90mx9ehmw24ibeea4k10s155rzz0romhjj6cxcv8a04x0fu9y91vwrqttt5qgjwhyeb7dtu2yuinf7rlcg2rcs7aqdeeq0gs834uu79uqlcd97gdw3ibur/fold1/confusion_matrix.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://48xb0eagmqscxtlnv27rogeji3r8ahqb272y8rywveimx3uobq32qq1w2vbzmshn4cxt4x8w7135it39j1peeef5v8f0m10v50k1iewuxo2z9a1dlo0ib9dr0cefjy0w:latest/fold1/confusion_matrix.table.json', 'size': 83, 'nrows': 2, 'path': 'media/table/fold1/confusion_matrix_3_1d80b36bbb17ca9d66d9.table.json', 'sha256': '1d80b36bbb17ca9d66d95e38b3130689e575f42619f1352964e311837c8ee0ec'}",,,,,,,,,1770740096.4710748,,,3,,4009.915424966,,,,,,,,,,,,,,,
,,,,0.984972505561852,,,,,,,,,,,,,,1770740096.4723935,,,4,,4009.916688703,,,,,,,,,,,,1,,0.992429368973101,
,,,,,,,,,,,,,,,,,,1770740096.472626,,,5,,4009.916851228,,,,,1,,,,,0.9876038781163435,0.9937632835092854,,,,
,,,,,,,,,,,,,,,,,,1770740977.6505156,,,6,,4891.094848059,,,,,,,"{'artifact_path': 'wandb-client-artifact://mz0i4yhe0en83j8smldbjckdb9q5inp6b2khkufjx27npp311gs9ri6y4b7g0qb3kbxoj44dq68l8rnwo8xi5qbhpdnnrkq114tr25b3kz4kc384tatzdntil0kcseq0/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_6_95d5807e1b29278b275f.table.json', 'size': 83, 'nrows': 2, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://co41zim2qhdx8eykwd8m34nx12tm27u5vct0jbkwsbeybp37b1le09q0etcyffetcymc1izia77w7hzhcgu4gshj7fgrynvhfj2atedb8x8cuy4slwyyhvlgb065mkgg:latest/fold2/confusion_matrix.table.json', 'sha256': '95d5807e1b29278b275f77cbfc4d76e2d43c4291a2dffa1f9840ebd2fa48083d'}",,,,,,,,
,,,,,,,0.9866633009381968,,,,,,,,,,,1770740977.6515396,,,7,,4891.095787848,,,0.9932868850723195,,,,,,,,,,1,,
,,,,,,0.9944784100607897,,,,,,,,,,,,1770740977.651726,,,8,1,4891.095922889,,,,,,0.9890174611973392,,,,,,,,,
,"{'sha256': '76d5ca09a2a45ef33d6fa9489c7e000cb962ed412b4345ccf9269e45ba5abc6b', '_latest_artifact_path': 'wandb-client-artifact://ypw8gfnat3l0ff7rlnziohuhi82kderqulpn21jvwi1z81rnvnjtfdga4gtbe5y4o7zm6qljeym2tk95xwl3ef0aqy96qa6c7i6sknqxws1hcv0j5s96xqlslugcwkoj:latest/fold3/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 2, 'path': 'media/table/fold3/confusion_matrix_9_76d5ca09a2a45ef33d6f.table.json', 'size': 83, 'ncols': 3, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://y21mcbkabzptg82k8m21x5srbhcg0n1dk37sa1h90tptnb9ksurkyuz6fnzlqbyikfiys2o04kjl6wv8tpjxfhsz1ef0xkzalayrdrru7nnktwdnef2u17mrpu1e71ue/fold3/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,1770741887.659612,,,9,,5801.10395082,,,,,,,,,,,,,,,
