fold3/class_0/recall,fold4/class_2/f1-score,cv5/fold_metrics,fold2/class_3/recall,_timestamp,fold2/class_0/f1-score,fold4/class_3/f1-score,fold3/class_0/f1-score,fold0/class_2/recall,fold3/confusion_matrix,fold2/class_3/precision,fold3/class_2/f1-score,fold1/class_0/precision,fold1/class_2/recall,fold4/class_2/precision,fold3/class_1/recall,fold4/class_1/precision,fold2/class_1/f1-score,fold4/class_3/precision,fold1/class_0/f1-score,_step,fold1/class_1/precision,fold2/class_0/recall,fold4/class_3/recall,fold3/class_3/f1-score,fold0/class_1/recall,fold0/class_3/precision,fold1/confusion_matrix,fold2/class_2/precision,fold1/class_3/f1-score,fold4/class_2/recall,fold0/class_0/recall,fold2/class_3/f1-score,fold2/class_2/f1-score,fold0/class_3/f1-score,fold4/confusion_matrix,fold4/class_1/f1-score,fold3/class_3/recall,fold4/class_1/recall,fold0/class_1/precision,fold3/class_0/precision,fold0/class_2/precision,fold0/class_1/f1-score,fold0/class_2/f1-score,fold1/class_2/precision,_runtime,fold1/class_3/precision,fold2/confusion_matrix,fold2/class_2/recall,fold0/class_0/f1-score,fold1/class_3/recall,fold4/class_0/precision,fold3/class_2/recall,fold0/class_3/recall,fold4/class_0/f1-score,fold1/class_2/f1-score,fold0/confusion_matrix,fold3/class_1/precision,fold3/class_3/precision,fold2/class_1/recall,fold1/class_0/recall,fold4/class_0/recall,fold3/class_1/f1-score,fold2/class_0/precision,fold2/class_1/precision,fold1/class_1/recall,fold0/class_0/precision,fold3/class_2/precision,fold1/class_1/f1-score
,,,,1770717628.1453335,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1296.504671357,,,,,,,,,,,"{'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_cda982461a2b7da32be1.table.json', 'artifact_path': 'wandb-client-artifact://x5bjanymiln1petznm2sjq83ghkqi72qdxzx4tgw51dyi5i1qrtl4v4efwghtjgvupg3on5cj06sno1onos713tuok4nk4aaijueqkhtieq209tea61uprv1qhs23x4q/fold0/confusion_matrix.table.json', 'ncols': 5, '_type': 'table-file', 'sha256': 'cda982461a2b7da32be131f40f4ba4c4a0017d0e13315bb2896abe849a801475', 'size': 146, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://rkn63zl0a42nkor0fisu64zcbyyd87vmlqsdilla742dpyu7px1hx6c4el5vrtk21k7tixitj2y3isyg58qn093uaetwtmpjg9nnlsf1ikw1vxakrhy30ccnd7znchnn:latest/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,
,,,,1770717628.147239,,,,,,,,,,,,,,,,1,,,,,,,,,,,0.9908008658008658,,,,,,,,,,,,,,1296.506212218,,,,0.9878608038845428,,,,,,,,,,,,,,,,,0.9849381387842926,,
,,,,1770717628.1476994,,,,,,,,,,,,,,,,2,,,,,0.971709717097171,,,,,,,,,,,,,,0.9789343246592317,,,0.9753086419753086,,,1296.506487452,,,,,,,,,,,,,,,,,,,,,,,
,,,,1770717628.1480887,,,,0.9914392723381488,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0.9793868921775899,,0.9853762297261367,,1296.506909251,,,,,,,,,,,,,,,,,,,,,,,
,,,,1770717628.1484125,,,,,,,,,,,,,,,,4,,,,,,0.9813302217036173,,,,,,,,0.965556831228473,,,,,,,,,,,1296.507253493,,,,,,,,0.9502824858757062,,,,,,,,,,,,,,,
,,,,1770717743.3925333,,,,,,,,,,,,,,,,5,,,,,,,"{'sha256': '995591ff6fa2d389a3eed5881262ab9c0c6e117307c643ce904735356946c4fc', 'artifact_path': 'wandb-client-artifact://rkv0u1sefxlubt24ysqip2kd2kmgroyfn7k23uo0b0k1ectbn2pppn4dwze7qo7uhv9cmve5ph4oeo2d342kwjtyogdfits4hubls1tevcaeqm4g4l67m8oaty43zkn6/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://1n2prkh24hpirjmstkobefji2h3087voyp37m0jkldj9j7xsa39omlhi4sqq46q5gyn025pecj1uf7uz9nxrv3pgjnzl3p9apo7cv27s0zgae0fkj7n535kevhszp6s3:latest/fold1/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'nrows': 4, 'path': 'media/table/fold1/confusion_matrix_5_995591ff6fa2d389a3ee.table.json', 'size': 147, '_type': 'table-file', 'ncols': 5}",,,,,,,,,,,,,,,,,,1411.751455111,,,,,,,,,,,,,,,,,,,,,,,
,,,,1770717743.3941255,,,,,,,,0.9746465138956607,,,,,,,0.9823095823095823,6,,,,,,,,,,,,,,,,,,,,,,,,,1411.752930968,,,,,,,,,,,,,,,0.9900941059930659,,,,,,,,
,,,,1770717743.3944297,,,,,,,,,,,,,,,,7,0.9793187347931873,,,,,,,,,,,,,,,,,,,,,,,,1411.753207001,,,,,,,,,,,,,,,,,,,,0.9583333333333334,,,0.9687123947051745
,,,,1770717743.3947864,,,,,,,,,0.9842818428184282,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,0.986420423682781,1411.753698319,,,,,,,,,,0.9853499728703201,,,,,,,,,,,,,
,,,,1770717743.3951862,,,,,,,,,,,,,,,,9,,,,,,,,,0.9516358463726885,,,,,,,,,,,,,,,,1411.753994236,0.9584527220630372,,,,0.9449152542372882,,,,,,,,,,,,,,,,,,
,,,,1770717875.5036445,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,1543.862564819,,"{'path': 'media/table/fold2/confusion_matrix_10_9d6f659a0b4eb049af52.table.json', 'sha256': '9d6f659a0b4eb049af528777877756a5fc3ca898f4beab885866c1ba74c9cc8d', 'size': 146, 'artifact_path': 'wandb-client-artifact://5nr9wb223n04069cws8rdlz4pdlreudkwquo23bvknb52yttngfy6e3ma156mw6mv8u9jfcxaxma5nh8kga37fty7vh0llyzhgmfmhqorqf0z0dp1wvm74n3d2gzcf0g/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://0t4d3b6xm5zvayzj9jhp37pfez53n26x2p8po5y47v14u9c9phgjtmo6rk5rdjmjvmqbraxi234s25wtoyj8bsmvorfof2euqycf9digpna8czuu7xi3hkmn031nttai:latest/fold2/confusion_matrix.table.json', 'nrows': 4, 'ncols': 5, 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,
,,,,1770717875.5050054,0.9890795631825273,,,,,,,,,,,,,,,11,,0.9890795631825273,,,,,,,,,,,,,,,,,,,,,,,1543.863853473,,,,,,,,,,,,,,,,,,0.9890795631825273,,,,,
,,,,1770717875.5053763,,,,,,,,,,,,,0.9761273209549072,,,12,,,,,,,,,,,,,,,,,,,,,,,,,1543.864304329,,,,,,,,,,,,,,0.9852744310575636,,,,,0.9671484888304862,,,,
,,,,1770717875.5057514,,,,,,,,,,,,,,,,13,,,,,,,,0.9777547853078117,,,,,0.984118719083572,,,,,,,,,,,,1543.864535861,,,0.9905660377358491,,,,,,,,,,,,,,,,,,,,
,,,0.9496402877697842,1770717875.5060952,,,,,,0.9962264150943396,,,,,,,,,,14,,,,,,,,,,,,0.9723756906077348,,,,,,,,,,,,,1543.864965403,,,,,,,,,,,,,,,,,,,,,,,
,,,,1770717987.995464,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://r1fyvgfc6l74vosj7nbffm9iafargj3tu74gr6ltlazwb85u0jlaow2ryf5pg9rn66mwf2hz1x94a8tozrgro842tgz1j7wirp0lei5yq3qlws3b4x7eamkkknh1i9ur:latest/fold3/confusion_matrix.table.json', 'size': 149, 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_9a7b0b9f4e3a69f8d2e5.table.json', '_type': 'table-file', 'ncols': 5, 'artifact_path': 'wandb-client-artifact://6x85h7c5wt07q6f9v6uavzsdlhfx4lnbf2rp61kx6fxr38d6e70v8wotky7pp1jpnphgwc5xk669f6pffkjmg2slluk7g5vnoyy7dqj9ro0rud9zd1gqp99byo9jxir8/fold3/confusion_matrix.table.json', 'sha256': '9a7b0b9f4e3a69f8d2e500432a8906cb35b2d416a02b02628c8c22df42966fca', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,1656.354376729,,,,,,,,,,,,,,,,,,,,,,,
0.9782377919320594,,,,1770717987.9972775,,,0.9855614973262032,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,0.9929956896551724,,,,,1656.356196157,,,,,,,,,,,,,,,,,,,,,,,
,,,,1770717987.997678,,,,,,,,,,,0.9748427672955975,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,1656.35652466,,,,,,,,,,,,0.9497549019607843,,,,,0.9621353196772191,,,,,,
,,,,1770717987.9980552,,,,,,,0.9784394250513347,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,1656.356915929,,,,,,,0.9850129198966409,,,,,,,,,,,,,,,0.9719530851606323,
,,,,1770717987.9984114,,,,,,,,,,,,,,,,19,,,,0.9614655716993051,,,,,,,,,,,,,0.9500624219725343,,,,,,,,1656.357211249,,,,,,,,,,,,,0.9731457800511509,,,,,,,,,,
