fold2/class_5/precision,fold2/class_2/precision,fold1/class_10/precision,fold3/class_2/f1-score,fold0/confusion_matrix,fold1/class_3/recall,fold1/class_6/recall,fold4/class_1/recall,fold1/class_2/recall,fold0/class_6/precision,fold0/class_7/recall,fold3/confusion_matrix,fold0/class_3/recall,fold4/class_5/precision,fold0/class_9/f1-score,fold1/class_4/precision,fold3/class_3/recall,fold1/class_10/recall,fold0/class_2/recall,cv5/fold_metrics,fold0/class_7/precision,fold0/class_8/precision,fold2/class_10/f1-score,fold1/class_7/recall,fold2/class_8/precision,fold1/class_10/f1-score,fold4/class_4/recall,fold1/class_3/precision,fold2/class_2/recall,fold2/class_1/recall,fold4/class_9/precision,fold0/class_6/recall,fold3/class_1/precision,fold1/class_6/f1-score,fold0/class_9/precision,fold1/class_5/precision,fold2/class_7/recall,fold3/class_2/precision,fold2/class_6/precision,fold1/class_7/f1-score,fold2/class_4/f1-score,_step,fold3/class_9/recall,fold3/class_10/precision,fold2/class_0/precision,fold2/class_9/f1-score,fold3/class_4/recall,fold2/class_4/recall,fold4/class_7/recall,fold4/class_6/recall,fold3/class_5/recall,fold4/class_6/f1-score,fold0/class_4/precision,fold4/class_0/recall,fold0/class_1/f1-score,fold4/class_6/precision,fold1/class_8/precision,fold2/class_1/f1-score,fold4/class_1/precision,fold1/class_9/f1-score,fold3/class_5/precision,fold3/class_3/f1-score,fold1/class_1/f1-score,fold0/class_2/precision,fold2/class_6/f1-score,fold2/confusion_matrix,fold2/class_4/precision,fold4/class_2/precision,fold3/class_3/precision,fold4/class_0/f1-score,fold3/class_6/f1-score,fold4/class_7/precision,fold4/class_3/precision,fold1/class_1/precision,fold0/class_0/precision,fold0/class_0/recall,fold3/class_9/precision,fold2/class_9/precision,fold1/class_3/f1-score,fold3/class_7/f1-score,fold2/class_10/precision,fold0/class_8/f1-score,fold3/class_2/recall,fold0/class_3/precision,fold2/class_1/precision,fold1/class_0/f1-score,fold3/class_0/precision,fold2/class_0/f1-score,fold3/class_6/precision,fold2/class_3/f1-score,fold2/class_7/f1-score,fold2/class_5/recall,fold3/class_0/f1-score,fold1/class_9/precision,fold4/class_0/precision,fold0/class_3/f1-score,fold1/class_0/recall,fold1/class_4/f1-score,fold4/class_3/recall,fold1/class_1/recall,fold2/class_3/recall,fold0/class_9/recall,fold4/class_2/f1-score,fold0/class_10/recall,fold3/class_7/precision,fold4/confusion_matrix,fold1/class_2/f1-score,fold4/class_8/precision,fold1/class_8/f1-score,fold0/class_8/recall,fold0/class_1/precision,fold3/class_10/f1-score,fold3/class_8/f1-score,_timestamp,fold0/class_2/f1-score,fold1/class_6/precision,fold4/class_10/f1-score,fold4/class_9/recall,fold0/class_0/f1-score,fold2/class_7/precision,fold3/class_1/recall,fold0/class_5/recall,fold4/class_5/recall,fold4/class_7/f1-score,_runtime,fold1/class_4/recall,fold0/class_10/f1-score,fold2/class_6/recall,fold2/class_0/recall,fold0/class_10/precision,fold4/class_4/f1-score,fold2/class_9/recall,fold4/class_9/f1-score,fold4/class_8/recall,fold2/class_5/f1-score,fold2/class_10/recall,fold3/class_1/f1-score,fold3/class_6/recall,fold0/class_4/recall,fold3/class_0/recall,fold3/class_5/f1-score,fold0/class_6/f1-score,fold4/class_2/recall,fold2/class_8/recall,fold1/class_9/recall,fold0/class_4/f1-score,fold4/class_8/f1-score,fold2/class_8/f1-score,fold4/class_10/recall,fold4/class_4/precision,fold0/class_5/f1-score,fold1/confusion_matrix,fold3/class_9/f1-score,fold2/class_3/precision,fold3/class_10/recall,fold0/class_1/recall,fold0/class_5/precision,fold3/class_7/recall,fold1/class_5/recall,fold3/class_4/f1-score,fold4/class_5/f1-score,fold3/class_8/precision,fold1/class_5/f1-score,fold2/class_2/f1-score,fold1/class_0/precision,fold1/class_7/precision,fold1/class_8/recall,fold3/class_4/precision,fold3/class_8/recall,fold4/class_3/f1-score,fold4/class_1/f1-score,fold1/class_2/precision,fold0/class_7/f1-score,fold4/class_10/precision
,,,,"{'_latest_artifact_path': 'wandb-client-artifact://mao98y7pkfq7kh7gvnnn0adbeb44z4ombbz66lx64hs3zwdfwgf5llk237pyggj1po1c198p8c2ruqsapdjl32f85o0bd67ts8xqinbvpqtqikqsqs5tbkprpev1z0bx:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 12, 'nrows': 11, 'log_mode': 'IMMUTABLE', 'sha256': '54f52685f1d3c2dca74209e9cfe5c1a2b97a94c38e94e40c6481b8270a399a42', 'path': 'media/table/fold0/confusion_matrix_0_54f52685f1d3c2dca742.table.json', 'size': 559, 'artifact_path': 'wandb-client-artifact://h7lkrkwp9sn1i1w4ns295w8xzrs8a1a3a4dwsjh413ig74k3v9lh9beu1wf260ewmtkn3u1oj0v7k8vk5fiz8aqulwvfafbgw400x2551fmeo5kwwv767350n9fhu1xh/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739325.80995,,,,,,,,,,,10802.162363821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998082372744125,0.9998721500106542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739325.8121166,,,,,0.9998401926211606,,,,,,10802.164199498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,0.9989327641408752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997867803837953,,,1770739325.8128788,,,,,,,,,,,10802.164959713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.9975669099756691,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0.9951456310679612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739325.8135035,0.9963547995139733,,,,,,,,,,10802.165516104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.9953703703703703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9953703703703703,,,,,,,,,,,,0.9953703703703703,,,,,,,,,,,,,,,,,,1770739325.8141131,,,,,,,,,,,10802.166129868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,0.9904761904761905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739325.8146865,,,,,,,,,,,10802.166678022,,,,,,,,,,,,,,0.9976019184652278,,,,,,,0.994026284348865,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739325.8152313,,,,,,,,0.9956989247311828,,,10802.167306185,,,,,,,,,,,,,,,,,,,,,,,,,,0.9967707212055974,,,,,,0.9978448275862069,,,,,,,,,,,,,,,,,
,,,,,,,,,0.9979296066252588,,,,,,,,,,,,,,,,,,,,,,0.9856850715746421,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739325.8158948,,,,,,,,,,,10802.167919586,,,,,,,,,,,,,,,,,0.9917695473251029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.993006993006993,,,,,,,,,,0.9906976744186047,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739325.8164523,,,,,,,,,,,10802.168436311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9918509895227008,
,,,,,,,,,,,,,,,,,,,,,0.9955357142857143,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9966480446927374,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977628635346756,,,,1770739325.8169906,,,,,,,,,,,10802.169018263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
