_timestamp,fold1/class_0/recall,fold4/class_1/f1-score,fold0/class_0/precision,fold3/class_1/f1-score,fold0/class_0/f1-score,fold1/class_1/precision,fold2/class_0/f1-score,fold4/class_0/precision,fold1/class_0/f1-score,fold3/class_1/recall,fold4/class_0/f1-score,fold2/class_0/recall,fold2/class_1/f1-score,fold2/class_0/precision,fold3/class_0/f1-score,_runtime,fold0/class_0/recall,fold1/class_1/f1-score,fold3/confusion_matrix,fold0/class_1/recall,fold4/class_1/recall,fold0/class_1/f1-score,fold4/confusion_matrix,fold0/class_1/precision,fold4/class_1/precision,fold2/class_1/precision,fold4/class_0/recall,fold3/class_0/precision,fold1/class_1/recall,fold2/class_1/recall,fold1/class_0/precision,cv5/fold_metrics,fold0/confusion_matrix,_step,fold1/confusion_matrix,fold3/class_1/precision,fold3/class_0/recall,fold2/confusion_matrix
1770743987.0817802,,,,,,,,,,,,,,,,360.076909977,,,,,,,,,,,,,,,,,"{'size': 83, 'log_mode': 'IMMUTABLE', 'sha256': '1bcc5ef62c510841511db3b9a1dd10924a2834e9cd8bdc15517d7df4891a32a8', '_type': 'table-file', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://02thcof4y9a2ftcdxliw1uyskk9s69daqrxsoyubx616kcxt3qrheirntjrg5xi7euehkbqlmrfub07oex1615n2rj13i3151gpbzfqtshe88za05dodhzqid4t5b1ic/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://2agy4pagrqggy202alg1upqv6mg1scthh555uziut01a6wiay0xicjlndjf70m99o6qpj8u4ygqlagl5ghztrp0yj8ggw299ig5dchd2pxt324bagoagmntshhtr8gv4:latest/fold0/confusion_matrix.table.json', 'nrows': 2, 'path': 'media/table/fold0/confusion_matrix_0_1bcc5ef62c510841511d.table.json'}",0,,,,
1770743987.0833416,,,0.9909206081081081,,0.9954396012302471,,,,,,,,,,,360.07825219,1,,,,,,,,,,,,,,,,,1,,,,
1770743987.0836716,,,,,,,,,,,,,,,,360.078527871,,,,0.9925554016620498,,0.9962637935528716,,1,,,,,,,,,,2,,,,
1770744343.334593,,,,,,,,,,,,,,,,716.329622475,,,,,,,,,,,,,,,,,,3,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://itw9ksg829nj9d4z8wvpfa94csqwzezwxud77eaoyttgprcrz4uvt8dv3x7q5zj3wu7zo6iih3eqhvut0g3ld9agq46mwtsr044s7e95w8h8fuwr871ab6e6z7vuyf15/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://yzin66896q0izkold5cfbhn5riezsvlmaxe7z2e7dc1y413dchc82t3va99nx6mhwgfe7go3zapqxkadvph2chcbc2j376u3njt5de3hzubt984bfkodpfc8coybwkxg:latest/fold1/confusion_matrix.table.json', 'sha256': 'e71e28d82d0c2cb11e33dc5d75987b1f68dce425e0bfb8d8a35404997815e6e7', 'ncols': 3, 'size': 83, '_type': 'table-file', 'nrows': 2, 'path': 'media/table/fold1/confusion_matrix_3_e71e28d82d0c2cb11e33.table.json'}",,,
1770744343.335886,1,,,,,,,,0.9944060685680383,,,,,,,716.330852612,,,,,,,,,,,,,,,0.9888743731299254,,,4,,,,
1770744343.3362482,,,,,,1,,,,,,,,,,716.331163834,,0.9954083762348686,,,,,,,,,,,0.9908587257617728,,,,,5,,,,
1770744683.6344848,,,,,,,,,,,,,,,,1056.629354872,,,,,,,,,,,,,,,,,,6,,,,"{'sha256': '99d9ee60705488c6d5da8f6e9d512ec2b90466b5d90a347a0d88e655df8a1d38', '_type': 'table-file', 'nrows': 2, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://ofch9q22vowd8oitog8i5gmd2wganjxi6biiclxf5ofs3g26btptozqh6gcmtr326m07r6mtdlc508436ufkegg4fsmxhmr3hk9kuobn5k74u2d8wjd3odmhmol1o79o/fold2/confusion_matrix.table.json', 'size': 83, 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://3ez4abo71ir2vywmg5sg0fft1t31pdw5s8vqo5sqjixdmazya3bpgaopqwuuai97sdb4dwicv1cou0rt1jqb4l99cb4v517elx8gzj6i3oo899dn9yss1mwo48oltdnt:latest/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_6_99d9ee60705488c6d5da.table.json'}"
1770744683.635851,,,,,,,0.9939183318853171,,,,,1,,0.9879101899827288,,1056.630700422,,,,,,,,,,,,,,,,,,7,,,,
1770744683.6360788,,,,,,,,,,,,,0.9950035688793719,,,1056.630858347,,,,,,,,,,1,,,,0.9900568181818182,,,,8,,,,
1770745009.4789286,,,,,,,,,,,,,,,,1382.474031653,,,"{'path': 'media/table/fold3/confusion_matrix_9_7058e0792f288d1096c9.table.json', 'ncols': 3, 'nrows': 2, 'artifact_path': 'wandb-client-artifact://yy5v4f2rcvbwyfise0rngcd0awaipofudfnh2n6hmt5py2ujwoene7pyxisdpvnx8oi17gjm9e347d3yhjipbavohtz8yqcsqe4619xi5l52le4q5yqxr2d1mh216nfd/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://yac2gyku4dptnmzwsripzpdsyq1rvpzrz2b8zos7bfbhlshlh95jrdlc28z9c3usxgnj7uipjjmbk8ohun8dt6acjmaskiully5u0hfr0z394tjf8yahp0xuqfvdevsj:latest/fold3/confusion_matrix.table.json', 'sha256': '7058e0792f288d1096c95b7b32626121e1fcbcb246bb50852f5f3110fc6c85e8', 'size': 83, 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,,,,,,,,,,,,,,9,,,,
1770745009.4805276,,,,,,,,,,,,,,,0.9948248069907525,1382.475565239,,,,,,,,,,,,0.9897029034436192,,,,,,10,,,1,
1770745009.4809573,,,,0.9957553406165194,,,,,,0.9915465631929047,,,,,,1382.475817994,,,,,,,,,,,,,,,,,,11,,1,,
1770745562.5463316,,,,,,,,,,,,,,,,1935.541315389,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://mhtvng8br32wyg0qr8u83jsq5p3klvp65s9pmwldqq9f8xbpybw3xh6rlzqrdyjt5pv713kb321hmj9lz0abwcjfz0okibcbvtqw85g2x9jqa27b130otj248hypm8c9/fold4/confusion_matrix.table.json', 'nrows': 2, 'size': 83, '_type': 'table-file', 'path': 'media/table/fold4/confusion_matrix_12_8379b1a5463cc5a6c332.table.json', '_latest_artifact_path': 'wandb-client-artifact://jbzf2kwf6q5sr1aant8cdqnk6nav0k2er2qzv8rkkhqv4sv4ajhaqt8vxe3352nevl001aci3vfqhndy8t18vwy857ryq80ubjjdg0p71s7cmxbe12tbv346rhzmadn6:latest/fold4/confusion_matrix.table.json', 'ncols': 3, 'sha256': '8379b1a5463cc5a6c332320f464a6cc3e0949334676e5aab3eb3687303ab917d'}",,,,,,,,,,,12,,,,
1770745562.547855,,,,,,,,0.9917117726657646,,,0.9958386411889597,,,,,1935.542782332,,,,,,,,,,,1,,,,,,,13,,,,
1770745562.5482404,,0.9965932003059167,,,,,,,,,,,,,,1935.543089025,,,,,0.9932095343680709,,,,1,,,,,,,,,14,,,,
1770745562.8030682,,,,,,,,,,,,,,,,1935.798153,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://lehe8suti7x222onrn74z39qjf5z93xe04essuhp1oplxk7zo3iutoy4iwaasmj71hx9ovo88lmehz8d7jcs9oy7a2cj4sw0a8ioxf64ln2wwrpcyrutm2bcjdywyaf9:latest/cv5/fold_metrics.table.json', 'artifact_path': 'wandb-client-artifact://86h1ifnq4ydkujxg7faq81am4chs0xnc6mhwsu9dahboipvq0dvowu6zpxisz5qrkvfgg5o7qxtb6gfhv0mnzsupordpz5d3ve1dzxp19exe89qti5art4qirgglwn45/cv5/fold_metrics.table.json', '_type': 'table-file', 'path': 'media/table/cv5/fold_metrics_15_9ae62945db2e320ea5e3.table.json', 'sha256': '9ae62945db2e320ea5e3b373e8923b443c39c23e1387844efc55066f8bb55a99', 'size': 773, 'ncols': 9, 'nrows': 5, 'log_mode': 'IMMUTABLE'}",,15,,,,
