fold4/confusion_matrix,fold0/class_0/recall,fold3/class_0/recall,fold3/class_0/f1-score,fold4/class_1/precision,fold3/class_1/precision,fold2/class_0/recall,fold0/class_1/recall,fold2/class_1/recall,fold0/class_0/f1-score,fold1/class_0/precision,_runtime,fold0/class_0/precision,fold3/class_1/f1-score,fold2/class_1/precision,fold3/class_1/recall,fold4/class_0/recall,fold1/confusion_matrix,_step,cv5/fold_metrics,fold2/confusion_matrix,fold4/class_1/f1-score,fold1/class_1/recall,fold3/confusion_matrix,fold2/class_0/f1-score,fold1/class_1/precision,fold4/class_0/precision,fold0/class_1/f1-score,fold2/class_1/f1-score,fold4/class_0/f1-score,fold1/class_0/recall,_timestamp,fold1/class_0/f1-score,fold0/class_1/precision,fold4/class_1/recall,fold0/confusion_matrix,fold1/class_1/f1-score,fold2/class_0/precision,fold3/class_0/precision
,,,,,,,,,,,201.704792868,,,,,,,0,,,,,,,,,,,,,1770745746.0186863,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://0jc5z8hqau38wig0jlm11ia3kdcfu93xsbjx6mhm7e7dg845q44nxm62no1wxdgerpnk8wq2uqf4jfiwblkf3ps3ra7i5yo9a9i3zewx8agniuyzsz1lv0p69zivpnvf:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 2, 'sha256': '6aa9986334ed756f3fb99c66b15e1cd32e3ad7776a9995c0edaa75a9d6625d7f', 'artifact_path': 'wandb-client-artifact://v0wxwwclyh1z8kgftazctw06erjisfuk953evqwvkv59hlnb838fzvio04w8lzfgzkza2zx1p0ixbx04c4ikj4c28eye9wn3040q5fzuhioe9u7tcrvl70kzf43ntwbq/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_6aa9986334ed756f3fb9.table.json', 'size': 83, 'ncols': 3}",,,
,1,,,,,,,,0.9967602989360527,,201.706713294,0.9935415214120583,,,,,,1,,,,,,,,,,,,,1770745746.020804,,,,,,,
,,,,,,,0.9939058171745152,,,,201.706979966,,,,,,,2,,,,,,,,,0.9969435954431787,,,,1770745746.0211415,,1,,,,,
,,,,,,,,,,,532.683955202,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://2c0pyemuqrs4la8fu76kovlm49otqvw8qyg0ezydfx0avedegp1cwp89vz7h03n9nvzdsdixp910j1q0lbknka8yk4e9tuvjmhrvarq7z63cblqwxvmboqpj1c86i2kf:latest/fold1/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold1/confusion_matrix_3_e6502b74e38246d8b605.table.json', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://4fy88mn9xpluohyce2deuw1yv6pd9on0th6n0mgxv40wi9zy3i0559psyain8wu7yett3wylat6po30exbzxq1yln6vahlq17rc7ql1ghqg7nq1noe0wxg2b1d0wvmoj/fold1/confusion_matrix.table.json', 'sha256': 'e6502b74e38246d8b6053e933b4356b42edb3b580ba002364459020bf9a4e1d6', 'nrows': 2, 'size': 83}",3,,,,,,,,,,,,,1770746076.9981234,,,,,,,
,,,,,,,,,,0.993104207167223,532.685256445,,,,,,,4,,,,,,,,,,,,1,1770746076.9994588,0.996540174463543,,,,,,
,,,,,,,,,,,532.685434219,,,,,,,5,,,,0.9934903047091412,,,1,,,,,,1770746076.9996953,,,,,0.9967345237268116,,
,,,,,,,,,,,788.162277503,,,,,,,6,,"{'log_mode': 'IMMUTABLE', 'ncols': 3, 'path': 'media/table/fold2/confusion_matrix_6_fc5907f3a63c8a3e563c.table.json', 'artifact_path': 'wandb-client-artifact://79llpxqq38pqs31yfra8pn8ow9qgj3ii80k0nhykq182h1v98de5o5d4ltkgjwtsxuuiph68hub43m1g4f6hwng9a1jyqiga8wmjdmk2bf1ucedgmfxz7kdpep04ucd9/fold2/confusion_matrix.table.json', 'size': 83, '_latest_artifact_path': 'wandb-client-artifact://x45d9549cbk3gds9kglojjc68tuhg3rfhz3cqqfzdjlhxuapz2jyyl89d1l0vyho4me6gb76td5iv2uzq8s7kzje3gyrdpgcevyiw1cmk2x5ztma64pw9aagyfr12e11:latest/fold2/confusion_matrix.table.json', 'sha256': 'fc5907f3a63c8a3e563c2ee18cad83cf808a8243c05ee6379997412ff5d16cae', '_type': 'table-file', 'nrows': 2}",,,,,,,,,,,1770746332.4764488,,,,,,,
,,,,,,0.9998521803399852,,,,,788.163570009,,,,,,,7,,,,,,0.995327962329397,,,,,,,1770746332.477765,,,,,,0.990844503039625,
,,,,,,,,0.9913386917960089,,,788.163759757,,,0.9998602278286394,,,,8,,,,,,,,,,0.9955812254270903,,,1770746332.4780066,,,,,,,
,,,,,,,,,,,1070.218065101,,,,,,,9,,,,,"{'sha256': 'af54396d9a19574b6bda928f81ae79c390d3a494ea89f25454abc618f4a68571', 'ncols': 3, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://iyfcult50dxjuilk1ozfbimhxf79b0zxxmlo9sycbrmnfm22uoj0bgk2yhub0lk2v1t7jq99zoyo5924a1pxg50smlrp225egp3pbnswk54omk63j9djajfehgby4sfz/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://8qmy8aw03u2ffr9bdt186b62y6ealrypbstwls235cp93v4au0s84klsmj629uoifrbelitj2cwmhc8f5a94sm76vuog2kmalnem9no96yckaldkg7obz4ey3l4tkn0j:latest/fold3/confusion_matrix.table.json', 'size': 83, '_type': 'table-file', 'nrows': 2, 'path': 'media/table/fold3/confusion_matrix_9_af54396d9a19574b6bda.table.json'}",,,,,,,,1770746614.5320807,,,,,,,
,,1,0.9967217945412354,,,,,,,,1070.219544448,,,,,,,10,,,,,,,,,,,,,1770746614.5335903,,,,,,,0.9934650121154269
,,,,,1,,,,,,1070.21971601,,0.9969070373588185,,0.9938331485587583,,,11,,,,,,,,,,,,,1770746614.5339825,,,,,,,
"{'sha256': 'dfe65cbf9841875f4242c437ac1033fe8677e72ff2d587df557fb3e89a17cbdd', '_type': 'table-file', 'ncols': 3, 'size': 83, 'nrows': 2, 'path': 'media/table/fold4/confusion_matrix_12_dfe65cbf9841875f4242.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://xqvzspbb6qz79h4t1s9zvn3sotv525dr9koslgi3bujmnga07fgvp8eh4t81yymoumxpn8pcjzbwazn10ip7khh0jkzgk17rttebcd6gz7lz13b1o3qf41i18bnty1r3/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://nfxl7086xzytzv3bb1adx7foq3rtf5a1rg39604qduduq8a7y8ad1jhtrfzklybrpeif144xcr3o9pbrom64quevwzmrt9qwac25od8dsoeu0e7f4jfrfzcdq6ah9s9k:latest/fold4/confusion_matrix.table.json'}",,,,,,,,,,,1310.354236256,,,,,,,12,,,,,,,,,,,,,1770746854.6682131,,,,,,,
