fold2/class_0/recall,fold2/class_0/precision,_step,fold4/class_3/f1-score,fold1/class_3/f1-score,cv5/fold_metrics,fold3/class_1/f1-score,fold0/class_2/f1-score,fold2/class_2/f1-score,fold2/class_3/recall,fold2/confusion_matrix,fold1/class_2/recall,fold3/class_0/recall,fold1/class_1/precision,fold1/confusion_matrix,fold1/class_1/f1-score,fold0/class_3/recall,fold0/confusion_matrix,fold0/class_0/precision,fold1/class_3/recall,fold4/confusion_matrix,fold4/class_0/f1-score,fold4/class_1/recall,fold3/confusion_matrix,fold4/class_2/recall,fold0/class_3/precision,fold0/class_1/f1-score,fold3/class_3/f1-score,fold3/class_2/recall,fold1/class_2/f1-score,fold4/class_1/precision,fold2/class_1/precision,fold4/class_3/recall,fold2/class_1/f1-score,fold4/class_1/f1-score,fold0/class_0/recall,fold1/class_2/precision,fold3/class_3/recall,fold1/class_0/precision,fold3/class_1/precision,fold3/class_3/precision,fold0/class_0/f1-score,fold0/class_2/precision,fold3/class_2/f1-score,fold1/class_3/precision,fold2/class_3/f1-score,fold4/class_2/precision,fold0/class_1/recall,fold1/class_0/f1-score,fold2/class_1/recall,fold1/class_0/recall,fold0/class_2/recall,fold1/class_1/recall,fold4/class_0/recall,fold3/class_0/precision,fold0/class_3/f1-score,fold3/class_2/precision,fold2/class_2/precision,fold4/class_2/f1-score,fold2/class_0/f1-score,_runtime,fold4/class_3/precision,fold3/class_0/f1-score,fold4/class_0/precision,_timestamp,fold3/class_1/recall,fold0/class_1/precision,fold2/class_2/recall,fold2/class_3/precision
,,0,,,,,,,,,,,,,,,"{'size': 152, '_latest_artifact_path': 'wandb-client-artifact://19tzxf2cvvvmw96ot59gfp2n0gq6by4fqmk1i27soz2ws5qv1n9knn4szusovsn08zdo3ay0mxetz63284tb80v7v7x135gvqh10vstuui45in750ejhxpernytlf85z:latest/fold0/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold0/confusion_matrix_0_c9475a2f98e26026d1d4.table.json', 'sha256': 'c9475a2f98e26026d1d43c01076160a328c892d91e2dc7aa2ae1caec97431914', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://r9mmbv1y1o36wuzoviigyi33o1ifp2y8zmfgwtrfss8y99k63ipqjsf1q69ztvhn9x4nftqzqol44rbfkdyw0uvgv59m39ze4ik3lay48x9x07au3p9luyl51m9jf83s/fold0/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.787206762,,,,1770718715.3050737,,,,
,,1,,,,,,,,,,,,,,,,0.9953303759047397,,,,,,,,,,,,,,,,,0.9886363636363636,,,,,,0.9919720767888307,,,,,,,,,,,,,,,,,,,325.788722938,,,,1770718715.3073418,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,0.9825857519788919,,,,,,,,,,,,,,,,,,,,,0.981549815498155,,,,,,,,,,,,,325.789281292,,,,1770718715.307866,,0.9836238774432118,,
,,3,,,,,0.9904652498564044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9924033149171271,,,,,,,,,0.9885347397385921,,,,,,,,,325.789714764,,,,1770718715.308381,,,,
,,4,,,,,,,,,,,,,,0.9893462469733656,,,,,,,,,0.9659574468085106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.977511961722488,,,,,325.790037041,,,,1770718715.3087199,,,,
,,5,,,,,,,,,,,,"{'nrows': 4, 'log_mode': 'IMMUTABLE', 'size': 155, '_type': 'table-file', 'ncols': 5, 'path': 'media/table/fold1/confusion_matrix_5_40aad639a078b4d77f91.table.json', '_latest_artifact_path': 'wandb-client-artifact://mvwwryxhcm9cgetcmqzpvvc9ijlqo8v6y70kr4qmuuyzxt51oyjflhpll0d66ypfgcxszeyvkvj8hj3y64cs4vegmqnzpmogripwgjc1b9b3fybiuh8af1x4rxxltlr3:latest/fold1/confusion_matrix.table.json', 'sha256': '40aad639a078b4d77f917b75b67da9f6700886371240e5a6a3e5c996f9685740', 'artifact_path': 'wandb-client-artifact://mg1giqnqld68ohd8lp51ep9kadfp24xl6kkz95olk4ilnfy77vkarhvhhx23w7z5cbh13zmivt3vpay3r1z6zjj2gjcdxyi4slkdhiddi0bm7koa21dbu6cjatfcycxs/fold1/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.187399264,,,,1770718952.7057695,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9931300987548304,,,,,,,,,,0.9875120076849183,,0.9819571216302271,,,,,,,,,,563.188976074,,,,1770718952.707498,,,,
,,7,,,,,,,,,,,0.9703815261044176,,0.9782388663967612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9862244897959184,,,,,,,,563.189385623,,,,1770718952.7080126,,,,
,,8,,,,,,,,,0.9881533101045297,,,,,,,,,,,,,,,,,,0.9880385553361979,,,,,,,0.9879238272178356,,,,,,,,,,,,,,,,,,,,,,,,563.189721761,,,,1770718952.7083893,,,,
,,9,,0.9651022864019254,,,,,,,,,,,,,,,0.9709443099273608,,,,,,,,,,,,,,,,,,,,,,,,,0.9593301435406698,,,,,,,,,,,,,,,,563.190170017,,,,1770718952.7087705,,,,
