experiment,observability,model,line_conditioned,uses_faulted_line_for_input_selection,deployment_interpretation,n_relays,mae_mean,mae_std,rmse_mean,rmse_std,delta_mae_abs,delta_mae_rel,n_episodes,n_windows,mae_worst_mean,rmse_worst_mean
reduced_observability_fl_50ms,full,cnn_lstm_regressor,False,False,centralized_full_observability,8,0.10703365653753279,0.024232099077817017,0.14369542885826792,0.028345014965355072,0.0,0.0,9022,81198,,
reduced_observability_fl_50ms,full,gru_regressor,False,False,centralized_full_observability,8,0.07940272986888881,0.00523187575111788,0.10968909600576233,0.006590037387966735,0.0,0.0,9022,81198,,
reduced_observability_fl_50ms,full,inceptiontime_regressor,False,False,centralized_full_observability,8,0.09894871562719343,0.0024224573775308146,0.1330476628788893,0.003691868245042598,0.0,0.0,9022,81198,,
reduced_observability_fl_50ms,full_line_conditioned,cnn_lstm_regressor,True,True,conditional_on_fault_line_identification,8,0.10688528642058368,0.0077679205858802915,0.14302487886230816,0.009091142477154977,-0.00014837011694911195,-0.0013862005816561447,9022,81198,,
reduced_observability_fl_50ms,full_line_conditioned,gru_regressor,True,True,conditional_on_fault_line_identification,8,0.0951396459713578,0.015902866032827943,0.127124643378971,0.018333714804557744,0.01573691610246898,0.19819112174674666,9022,81198,,
reduced_observability_fl_50ms,full_line_conditioned,inceptiontime_regressor,True,True,conditional_on_fault_line_identification,8,0.08909824602305887,0.007775849186072884,0.11825217142233128,0.009337667653815338,-0.009850469604134562,-0.09955126291126332,9022,81198,,
reduced_observability_fl_50ms,single_ended,cnn_lstm_regressor,True,True,conditional_on_fault_line_identification,1,0.18667841590940948,0.0070267205130540135,0.23223605176659856,0.006713122143832624,0.07964475937187669,0.7441094880650759,9022,81198,0.203133887052536,0.25000338195439115
reduced_observability_fl_50ms,single_ended,gru_regressor,True,True,conditional_on_fault_line_identification,1,0.18636181727051734,0.013285817046008053,0.23076067012079965,0.013106073534805642,0.10695908740162853,1.3470454678100017,9022,81198,0.20151671469211574,0.24595229176519817
reduced_observability_fl_50ms,single_ended,inceptiontime_regressor,True,True,conditional_on_fault_line_identification,1,0.16932474449276919,0.006865682926550855,0.21366444687697617,0.007638212743689314,0.07037602886557576,0.7112374164686457,9022,81198,0.1789144016802311,0.2251626137773054
reduced_observability_fl_50ms,terminal_pair,cnn_lstm_regressor,True,True,conditional_on_fault_line_identification,2,0.10457467101514337,0.01316527605649352,0.1413863801364197,0.015022422728473834,-0.0024589855223894203,-0.022973946718592615,9022,81198,,
reduced_observability_fl_50ms,terminal_pair,gru_regressor,True,True,conditional_on_fault_line_identification,2,0.09140108209103343,0.044816450262684535,0.12041743292515812,0.04880325676848673,0.011998352222144612,0.15110755312766327,9022,81198,,
reduced_observability_fl_50ms,terminal_pair,inceptiontime_regressor,True,True,conditional_on_fault_line_identification,2,0.08256579451262946,0.007972559785053393,0.11164556279529814,0.011246266699426884,-0.016382921114563964,-0.16556982079777044,9022,81198,,
