observability,line_conditioned,line,terminal_side,fold,n_relays,n_channels,n_episodes_test,n_windows_test,mae,rmse,experiment,model,selected_relays,uses_faulted_line_for_input_selection,deployment_interpretation
full,False,,,0,8,48,1805,16245,0.079171247780323,0.1081149371927563,reduced_observability_fl_50ms,gru_regressor,,,
full,False,,,1,8,48,1805,16245,0.0821565240621566,0.1126549069844374,reduced_observability_fl_50ms,gru_regressor,,,
full,False,,,2,8,48,1804,16236,0.0704762116074562,0.0988484753701205,reduced_observability_fl_50ms,gru_regressor,,,
full,False,,,3,8,48,1804,16236,0.0835168287158012,0.114039546799577,reduced_observability_fl_50ms,gru_regressor,,,
full,False,,,4,8,48,1804,16236,0.0816928371787071,0.1147876136819205,reduced_observability_fl_50ms,gru_regressor,,,
terminal_pair,True,Line_1_2_a,,0,2,12,639,5751,0.0535683222115039,0.0773633336069671,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_a,,1,2,12,638,5742,0.044334415346384,0.0639518185814596,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_a,,2,2,12,638,5742,0.0445679798722267,0.0682028442881729,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_a,,3,2,12,638,5742,0.0763164758682251,0.1029658473015239,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_a,,4,2,12,638,5742,0.0606646202504634,0.0821003395865755,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_b,,0,2,12,266,2394,0.1065447777509689,0.1424690181845123,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02B;Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_b,,1,2,12,266,2394,0.1000051572918891,0.1299568911519597,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02B;Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_b,,2,2,12,266,2394,0.0863583981990814,0.1142485321384163,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02B;Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_b,,3,2,12,265,2385,0.0868275612592697,0.1224516785998515,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02B;Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_b,,4,2,12,265,2385,0.0990892201662063,0.1353931811642254,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02B;Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_a,,0,2,12,633,5697,0.0795986950397491,0.1076440983476436,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03A;Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_a,,1,2,12,633,5697,0.073346734046936,0.1019145430352143,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03A;Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_a,,2,2,12,633,5697,0.081105537712574,0.1110073873509205,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03A;Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_a,,3,2,12,633,5697,0.0789256691932678,0.1052426280726834,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03A;Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_a,,4,2,12,633,5697,0.0780385285615921,0.1038355875670211,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03A;Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_b,,0,2,12,268,2412,0.105331540107727,0.1371443051894781,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03B;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_b,,1,2,12,268,2412,0.107311874628067,0.1377379101274143,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03B;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_b,,2,2,12,268,2412,0.2621614634990692,0.3019126568876405,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03B;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_b,,3,2,12,267,2403,0.1036805734038353,0.1333461097529047,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03B;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_b,,4,2,12,267,2403,0.1002440974116325,0.1294599475685777,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03B;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_a,a,0,1,6,639,5751,0.1501797586679458,0.1904954649956137,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_a,a,1,1,6,638,5742,0.1452745497226715,0.1878650806534285,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_a,a,2,1,6,638,5742,0.1488552242517471,0.1905202894601068,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_a,a,3,1,6,638,5742,0.1605148911476135,0.2077789032101184,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_a,a,4,1,6,638,5742,0.1601851433515548,0.2020041738807151,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_b,a,0,1,6,266,2394,0.2595799565315246,0.2996159061679913,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02B,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_b,a,1,1,6,266,2394,0.2461995333433151,0.2875566825759142,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02B,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_b,a,2,1,6,266,2394,0.2340225279331207,0.2737160353950058,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02B,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_b,a,3,1,6,265,2385,0.1590322107076645,0.2049633431516105,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02B,True,conditional_on_fault_line_identification
